type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol
red;7.2000000000;0.4150000000;0.3600000000;2.0000000000;0.0810000000;13.0000000000;45.0000000000;0.9972000000;3.4800000000;0.6400000000;9.2000000000
red;8.0000000000;0.8300000000;0.2700000000;2.0000000000;0.0800000000;11.0000000000;63.0000000000;0.9965200000;3.2900000000;0.4800000000;9.8000000000
red;10.2000000000;0.3600000000;0.6400000000;2.9000000000;0.1220000000;10.0000000000;41.0000000000;0.9980000000;3.2300000000;0.6600000000;12.5000000000
red;6.2000000000;0.5700000000;0.1000000000;2.1000000000;0.0480000000;4.0000000000;11.0000000000;0.9944800000;3.4400000000;0.7600000000;10.8000000000
red;6.3000000000;0.3900000000;0.0800000000;1.7000000000;0.0660000000;3.0000000000;20.0000000000;0.9954000000;3.3400000000;0.5800000000;9.4000000000
red;7.2000000000;0.5700000000;0.0600000000;1.6000000000;0.0760000000;9.0000000000;27.0000000000;0.9972000000;3.3600000000;0.7000000000;9.6000000000
red;7.9000000000;0.2400000000;0.4000000000;1.6000000000;0.0560000000;11.0000000000;25.0000000000;0.9967000000;3.3200000000;0.8700000000;8.7000000000
red;8.5000000000;0.3200000000;0.4200000000;2.3000000000;0.0750000000;12.0000000000;19.0000000000;0.9943400000;3.1400000000;0.7100000000;11.8000000000
red;9.8000000000;0.4500000000;0.3800000000;2.5000000000;0.0810000000;34.0000000000;66.0000000000;0.9972600000;3.1500000000;0.5800000000;9.8000000000
red;8.1000000000;0.7800000000;0.1000000000;3.3000000000;0.0900000000;4.0000000000;13.0000000000;0.9985500000;3.3600000000;0.4900000000;9.5000000000
red;7.9000000000;0.5000000000;0.3300000000;2.0000000000;0.0840000000;15.0000000000;143.0000000000;0.9968000000;3.2000000000;0.5500000000;9.5000000000
red;9.1000000000;0.7750000000;0.2200000000;2.2000000000;0.0790000000;12.0000000000;48.0000000000;0.9976000000;3.1800000000;0.5100000000;9.6000000000
red;9.6000000000;0.6800000000;0.2400000000;2.2000000000;0.0870000000;5.0000000000;28.0000000000;0.9988000000;3.1400000000;0.6000000000;10.2000000000
red;6.8000000000;0.5000000000;0.1100000000;1.5000000000;0.0750000000;16.0000000000;49.0000000000;0.9954500000;3.3600000000;0.7900000000;9.5000000000
red;6.6000000000;0.5000000000;0.0400000000;2.1000000000;0.0680000000;6.0000000000;14.0000000000;0.9955000000;3.3900000000;0.6400000000;9.4000000000
red;13.5000000000;0.5300000000;0.7900000000;4.8000000000;0.1200000000;23.0000000000;77.0000000000;1.0018000000;3.1800000000;0.7700000000;13.0000000000
red;6.6000000000;0.5200000000;0.0400000000;2.2000000000;0.0690000000;8.0000000000;15.0000000000;0.9956000000;3.4000000000;0.6300000000;9.4000000000
red;10.0000000000;0.4200000000;0.5000000000;3.4000000000;0.1070000000;7.0000000000;21.0000000000;0.9979000000;3.2600000000;0.9300000000;11.8000000000
red;9.2000000000;0.9200000000;0.2400000000;2.6000000000;0.0870000000;12.0000000000;93.0000000000;0.9998000000;3.4800000000;0.5400000000;9.8000000000
red;8.7000000000;0.6250000000;0.1600000000;2.0000000000;0.1010000000;13.0000000000;49.0000000000;0.9962000000;3.1400000000;0.5700000000;11.0000000000
red;7.6000000000;0.5400000000;0.0200000000;1.7000000000;0.0850000000;17.0000000000;31.0000000000;0.9958900000;3.3700000000;0.5100000000;10.4000000000
red;7.6000000000;0.6800000000;0.0200000000;1.3000000000;0.0720000000;9.0000000000;20.0000000000;0.9965000000;3.1700000000;1.0800000000;9.2000000000
red;5.7000000000;0.6000000000;0.0000000000;1.4000000000;0.0630000000;11.0000000000;18.0000000000;0.9919100000;3.4500000000;0.5600000000;12.2000000000
red;7.6000000000;0.6200000000;0.3200000000;2.2000000000;0.0820000000;7.0000000000;54.0000000000;0.9966000000;3.3600000000;0.5200000000;9.4000000000
red;12.9000000000;0.5000000000;0.5500000000;2.8000000000;0.0720000000;7.0000000000;24.0000000000;1.0001200000;3.0900000000;0.6800000000;10.9000000000
red;6.9000000000;0.5000000000;0.0400000000;1.5000000000;0.0850000000;19.0000000000;49.0000000000;0.9958000000;3.3500000000;0.7800000000;9.5000000000
red;9.1000000000;0.3400000000;0.4200000000;1.8000000000;0.0580000000;9.0000000000;18.0000000000;0.9939200000;3.1800000000;0.5500000000;11.4000000000
red;7.9000000000;0.8850000000;0.0300000000;1.8000000000;0.0580000000;4.0000000000;8.0000000000;0.9972000000;3.3600000000;0.3300000000;9.1000000000
red;7.1000000000;0.8750000000;0.0500000000;5.7000000000;0.0820000000;3.0000000000;14.0000000000;0.9980800000;3.4000000000;0.5200000000;10.2000000000
red;9.6000000000;0.6000000000;0.5000000000;2.3000000000;0.0790000000;28.0000000000;71.0000000000;0.9997000000;3.5000000000;0.5700000000;9.7000000000
red;7.8000000000;0.4300000000;0.7000000000;1.9000000000;0.4640000000;22.0000000000;67.0000000000;0.9974000000;3.1300000000;1.2800000000;9.4000000000
red;7.5000000000;0.5200000000;0.1100000000;1.5000000000;0.0790000000;11.0000000000;39.0000000000;0.9968000000;3.4200000000;0.5800000000;9.6000000000
red;9.5000000000;0.7350000000;0.1000000000;2.1000000000;0.0790000000;6.0000000000;31.0000000000;0.9986000000;3.2300000000;0.5600000000;10.1000000000
red;7.2000000000;0.3400000000;0.3200000000;2.5000000000;0.0900000000;43.0000000000;113.0000000000;0.9966000000;3.3200000000;0.7900000000;11.1000000000
red;11.1000000000;0.3100000000;0.5300000000;2.2000000000;0.0600000000;3.0000000000;10.0000000000;0.9957200000;3.0200000000;0.8300000000;10.9000000000
red;7.4000000000;0.2900000000;0.3800000000;1.7000000000;0.0620000000;9.0000000000;30.0000000000;0.9968000000;3.4100000000;0.5300000000;9.5000000000
red;9.5000000000;0.4600000000;0.4900000000;6.3000000000;0.0640000000;5.0000000000;17.0000000000;0.9988000000;3.2100000000;0.7300000000;11.0000000000
red;6.6000000000;0.6950000000;0.0000000000;2.1000000000;0.0750000000;12.0000000000;56.0000000000;0.9968000000;3.4900000000;0.6700000000;9.2000000000
red;7.9000000000;0.4300000000;0.2100000000;1.6000000000;0.1060000000;10.0000000000;37.0000000000;0.9966000000;3.1700000000;0.9100000000;9.5000000000
red;9.4000000000;0.3300000000;0.5900000000;2.8000000000;0.0790000000;9.0000000000;30.0000000000;0.9976000000;3.1200000000;0.5400000000;12.0000000000
red;10.2000000000;0.4200000000;0.5700000000;3.4000000000;0.0700000000;4.0000000000;10.0000000000;0.9971000000;3.0400000000;0.6300000000;9.6000000000
red;7.1000000000;0.6700000000;0.0000000000;2.3000000000;0.0830000000;18.0000000000;27.0000000000;0.9976800000;3.4400000000;0.5400000000;9.4000000000
red;7.5000000000;0.5200000000;0.4200000000;2.3000000000;0.0870000000;8.0000000000;38.0000000000;0.9972000000;3.5800000000;0.6100000000;10.5000000000
red;8.1000000000;0.3300000000;0.4400000000;1.5000000000;0.0420000000;6.0000000000;12.0000000000;0.9954200000;3.3500000000;0.6100000000;10.7000000000
red;7.7000000000;0.5700000000;0.2100000000;1.5000000000;0.0690000000;4.0000000000;9.0000000000;0.9945800000;3.1600000000;0.5400000000;9.8000000000
red;10.3000000000;0.4300000000;0.4400000000;2.4000000000;0.2140000000;5.0000000000;12.0000000000;0.9994000000;3.1900000000;0.6300000000;9.5000000000
red;8.2000000000;0.6400000000;0.2700000000;2.0000000000;0.0950000000;5.0000000000;77.0000000000;0.9974700000;3.1300000000;0.6200000000;9.1000000000
red;5.6000000000;0.3100000000;0.7800000000;13.9000000000;0.0740000000;23.0000000000;92.0000000000;0.9967700000;3.3900000000;0.4800000000;10.5000000000
red;7.2000000000;0.5000000000;0.1800000000;2.1000000000;0.0710000000;12.0000000000;31.0000000000;0.9976100000;3.5200000000;0.7200000000;9.6000000000
red;5.2000000000;0.4800000000;0.0400000000;1.6000000000;0.0540000000;19.0000000000;106.0000000000;0.9927000000;3.5400000000;0.6200000000;12.2000000000
red;7.1000000000;0.6900000000;0.0400000000;2.1000000000;0.0680000000;19.0000000000;27.0000000000;0.9971200000;3.4400000000;0.6700000000;9.8000000000
red;6.6000000000;0.7250000000;0.0900000000;5.5000000000;0.1170000000;9.0000000000;17.0000000000;0.9965500000;3.3500000000;0.4900000000;10.8000000000
red;6.9000000000;0.4400000000;0.0000000000;1.4000000000;0.0700000000;32.0000000000;38.0000000000;0.9943800000;3.3200000000;0.5800000000;11.4000000000
red;8.6000000000;0.3300000000;0.4000000000;2.6000000000;0.0830000000;16.0000000000;68.0000000000;0.9978200000;3.3000000000;0.4800000000;9.4000000000
red;7.4000000000;0.6800000000;0.1600000000;1.8000000000;0.0780000000;12.0000000000;39.0000000000;0.9977000000;3.5000000000;0.7000000000;9.9000000000
red;7.5000000000;0.6100000000;0.2000000000;1.7000000000;0.0760000000;36.0000000000;60.0000000000;0.9949400000;3.1000000000;0.4000000000;9.3000000000
red;8.1000000000;0.6600000000;0.2200000000;2.2000000000;0.0690000000;9.0000000000;23.0000000000;0.9968000000;3.3000000000;1.2000000000;10.3000000000
red;6.3000000000;0.7600000000;0.0000000000;2.9000000000;0.0720000000;26.0000000000;52.0000000000;0.9937900000;3.5100000000;0.6000000000;11.5000000000
red;7.9000000000;0.5300000000;0.2400000000;2.0000000000;0.0720000000;15.0000000000;105.0000000000;0.9960000000;3.2700000000;0.5400000000;9.4000000000
red;10.0000000000;0.5600000000;0.2400000000;2.2000000000;0.0790000000;19.0000000000;58.0000000000;0.9991000000;3.1800000000;0.5600000000;10.1000000000
red;7.8000000000;0.9100000000;0.0700000000;1.9000000000;0.0580000000;22.0000000000;47.0000000000;0.9952500000;3.5100000000;0.4300000000;10.7000000000
red;8.8000000000;0.6100000000;0.1400000000;2.4000000000;0.0670000000;10.0000000000;42.0000000000;0.9969000000;3.1900000000;0.5900000000;9.5000000000
red;8.0000000000;0.7150000000;0.2200000000;2.3000000000;0.0750000000;13.0000000000;81.0000000000;0.9968800000;3.2400000000;0.5400000000;9.5000000000
red;7.0000000000;0.3600000000;0.2100000000;2.3000000000;0.0860000000;20.0000000000;65.0000000000;0.9955800000;3.4000000000;0.5400000000;10.1000000000
red;5.9000000000;0.4400000000;0.0000000000;1.6000000000;0.0420000000;3.0000000000;11.0000000000;0.9944000000;3.4800000000;0.8500000000;11.7000000000
red;7.1000000000;0.6000000000;0.0100000000;2.3000000000;0.0790000000;24.0000000000;37.0000000000;0.9951400000;3.4000000000;0.6100000000;10.9000000000
red;9.1000000000;0.3000000000;0.3400000000;2.0000000000;0.0640000000;12.0000000000;25.0000000000;0.9951600000;3.2600000000;0.8400000000;11.7000000000
red;10.2000000000;0.5400000000;0.3700000000;15.4000000000;0.2140000000;55.0000000000;95.0000000000;1.0036900000;3.1800000000;0.7700000000;9.0000000000
red;12.3000000000;0.5000000000;0.4900000000;2.2000000000;0.0890000000;5.0000000000;14.0000000000;1.0002000000;3.1900000000;0.4400000000;9.6000000000
red;9.0000000000;0.4600000000;0.3100000000;2.8000000000;0.0930000000;19.0000000000;98.0000000000;0.9981500000;3.3200000000;0.6300000000;9.5000000000
red;6.1000000000;0.5800000000;0.2300000000;2.5000000000;0.0440000000;16.0000000000;70.0000000000;0.9935200000;3.4600000000;0.6500000000;12.5000000000
red;8.1000000000;0.7850000000;0.5200000000;2.0000000000;0.1220000000;37.0000000000;153.0000000000;0.9969000000;3.2100000000;0.6900000000;9.3000000000
red;7.4000000000;0.6600000000;0.0000000000;1.8000000000;0.0750000000;13.0000000000;40.0000000000;0.9978000000;3.5100000000;0.5600000000;9.4000000000
red;5.6000000000;0.6200000000;0.0300000000;1.5000000000;0.0800000000;6.0000000000;13.0000000000;0.9949800000;3.6600000000;0.6200000000;10.1000000000
red;7.3000000000;0.3900000000;0.3100000000;2.4000000000;0.0740000000;9.0000000000;46.0000000000;0.9962000000;3.4100000000;0.5400000000;9.4000000000
red;5.2000000000;0.3200000000;0.2500000000;1.8000000000;0.1030000000;13.0000000000;50.0000000000;0.9957000000;3.3800000000;0.5500000000;9.2000000000
red;6.0000000000;0.3300000000;0.3200000000;12.9000000000;0.0540000000;6.0000000000;113.0000000000;0.9957200000;3.3000000000;0.5600000000;11.5000000000
red;7.3000000000;0.6600000000;0.0000000000;2.0000000000;0.0840000000;6.0000000000;23.0000000000;0.9983000000;3.6100000000;0.9600000000;9.9000000000
red;9.0000000000;0.4300000000;0.3400000000;2.5000000000;0.0800000000;26.0000000000;86.0000000000;0.9987000000;3.3800000000;0.6200000000;9.5000000000
red;9.3000000000;0.3700000000;0.4400000000;1.6000000000;0.0380000000;21.0000000000;42.0000000000;0.9952600000;3.2400000000;0.8100000000;10.8000000000
red;6.5000000000;0.9000000000;0.0000000000;1.6000000000;0.0520000000;9.0000000000;17.0000000000;0.9946700000;3.5000000000;0.6300000000;10.9000000000
red;8.9000000000;0.1200000000;0.4500000000;1.8000000000;0.0750000000;10.0000000000;21.0000000000;0.9955200000;3.4100000000;0.7600000000;11.9000000000
red;7.1000000000;0.7100000000;0.0000000000;1.9000000000;0.0800000000;14.0000000000;35.0000000000;0.9972000000;3.4700000000;0.5500000000;9.4000000000
red;6.2000000000;0.6000000000;0.0800000000;2.0000000000;0.0900000000;32.0000000000;44.0000000000;0.9949000000;3.4500000000;0.5800000000;10.5000000000
red;7.7000000000;0.6700000000;0.2300000000;2.1000000000;0.0880000000;17.0000000000;96.0000000000;0.9962000000;3.3200000000;0.4800000000;9.5000000000
red;8.9000000000;0.5000000000;0.2100000000;2.2000000000;0.0880000000;21.0000000000;39.0000000000;0.9969200000;3.3300000000;0.8300000000;11.1000000000
red;9.1000000000;0.6000000000;0.0000000000;1.9000000000;0.0580000000;5.0000000000;10.0000000000;0.9977000000;3.1800000000;0.6300000000;10.4000000000
red;6.8000000000;0.4800000000;0.2500000000;2.0000000000;0.0760000000;29.0000000000;61.0000000000;0.9953000000;3.3400000000;0.6000000000;10.4000000000
red;7.5000000000;0.5800000000;0.2000000000;2.0000000000;0.0730000000;34.0000000000;44.0000000000;0.9949400000;3.1000000000;0.4300000000;9.3000000000
red;10.5000000000;0.2400000000;0.4200000000;1.8000000000;0.0770000000;6.0000000000;22.0000000000;0.9976000000;3.2100000000;1.0500000000;10.8000000000
red;6.8000000000;0.5600000000;0.2200000000;1.8000000000;0.0740000000;15.0000000000;24.0000000000;0.9943800000;3.4000000000;0.8200000000;11.2000000000
red;5.6000000000;0.6150000000;0.0000000000;1.6000000000;0.0890000000;16.0000000000;59.0000000000;0.9943000000;3.5800000000;0.5200000000;9.9000000000
red;7.9000000000;0.6500000000;0.0100000000;2.5000000000;0.0780000000;17.0000000000;38.0000000000;0.9963000000;3.3400000000;0.7400000000;11.7000000000
red;7.1000000000;0.6850000000;0.3500000000;2.0000000000;0.0880000000;9.0000000000;92.0000000000;0.9963000000;3.2800000000;0.6200000000;9.4000000000
red;7.2000000000;0.3900000000;0.4400000000;2.6000000000;0.0660000000;22.0000000000;48.0000000000;0.9949400000;3.3000000000;0.8400000000;11.5000000000
red;6.5000000000;0.5100000000;0.1500000000;3.0000000000;0.0640000000;12.0000000000;27.0000000000;0.9929000000;3.3300000000;0.5900000000;12.8000000000
red;7.1000000000;0.6200000000;0.0600000000;1.3000000000;0.0700000000;5.0000000000;12.0000000000;0.9942000000;3.1700000000;0.4800000000;9.8000000000
red;8.9000000000;0.3800000000;0.4000000000;2.2000000000;0.0680000000;12.0000000000;28.0000000000;0.9948600000;3.2700000000;0.7500000000;12.6000000000
red;8.8000000000;0.6000000000;0.2900000000;2.2000000000;0.0980000000;5.0000000000;15.0000000000;0.9988000000;3.3600000000;0.4900000000;9.1000000000
red;10.0000000000;0.2600000000;0.5400000000;1.9000000000;0.0830000000;42.0000000000;74.0000000000;0.9945100000;2.9800000000;0.6300000000;11.8000000000
red;10.2000000000;0.3400000000;0.4800000000;2.1000000000;0.0520000000;5.0000000000;9.0000000000;0.9945800000;3.2000000000;0.6900000000;12.1000000000
red;4.9000000000;0.4200000000;0.0000000000;2.1000000000;0.0480000000;16.0000000000;42.0000000000;0.9915400000;3.7100000000;0.7400000000;14.0000000000
red;9.2000000000;0.5900000000;0.2400000000;3.3000000000;0.1010000000;20.0000000000;47.0000000000;0.9988000000;3.2600000000;0.6700000000;9.6000000000
red;11.6000000000;0.4100000000;0.5400000000;1.5000000000;0.0950000000;22.0000000000;41.0000000000;0.9973500000;3.0200000000;0.7600000000;9.9000000000
red;11.5000000000;0.5900000000;0.5900000000;2.6000000000;0.0870000000;13.0000000000;49.0000000000;0.9988000000;3.1800000000;0.6500000000;11.0000000000
red;7.4000000000;0.7000000000;0.0000000000;1.9000000000;0.0760000000;11.0000000000;34.0000000000;0.9978000000;3.5100000000;0.5600000000;9.4000000000
red;8.9000000000;0.3100000000;0.5700000000;2.0000000000;0.1110000000;26.0000000000;85.0000000000;0.9971000000;3.2600000000;0.5300000000;9.7000000000
red;8.5000000000;0.2800000000;0.5600000000;1.8000000000;0.0920000000;35.0000000000;103.0000000000;0.9969000000;3.3000000000;0.7500000000;10.5000000000
red;5.6000000000;0.3100000000;0.3700000000;1.4000000000;0.0740000000;12.0000000000;96.0000000000;0.9954000000;3.3200000000;0.5800000000;9.2000000000
red;6.6000000000;0.8550000000;0.0200000000;2.4000000000;0.0620000000;15.0000000000;23.0000000000;0.9962700000;3.5400000000;0.6000000000;11.0000000000
red;9.2000000000;0.6300000000;0.2100000000;2.7000000000;0.0970000000;29.0000000000;65.0000000000;0.9988000000;3.2800000000;0.5800000000;9.6000000000
red;13.3000000000;0.2900000000;0.7500000000;2.8000000000;0.0840000000;23.0000000000;43.0000000000;0.9986000000;3.0400000000;0.6800000000;11.4000000000
red;7.6000000000;0.6450000000;0.0300000000;1.9000000000;0.0860000000;14.0000000000;57.0000000000;0.9969000000;3.3700000000;0.4600000000;10.3000000000
red;8.9000000000;0.7450000000;0.1800000000;2.5000000000;0.0770000000;15.0000000000;48.0000000000;0.9973900000;3.2000000000;0.4700000000;9.7000000000
red;12.0000000000;0.3700000000;0.7600000000;4.2000000000;0.0660000000;7.0000000000;38.0000000000;1.0004000000;3.2200000000;0.6000000000;13.0000000000
