type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;random_num;rnum
red;10.3000000000;0.4100000000;0.4200000000;2.4000000000;0.2130000000;6.0000000000;14.0000000000;0.9994000000;3.1900000000;0.6200000000;9.5000000000;6;20213390,3201412;22
red;12.3000000000;0.5000000000;0.4900000000;2.2000000000;0.0890000000;5.0000000000;14.0000000000;1.0002000000;3.1900000000;0.4400000000;9.6000000000;5;20269355,3578204;23
red;6.3000000000;0.9800000000;0.0100000000;2.0000000000;0.0570000000;15.0000000000;33.0000000000;0.9948800000;3.6000000000;0.4600000000;11.2000000000;6;20609003,5877661;24
red;6.5000000000;0.6150000000;0.0000000000;1.9000000000;0.0650000000;9.0000000000;18.0000000000;0.9972000000;3.4600000000;0.6500000000;9.2000000000;5;21251423,8636492;25
red;7.6000000000;0.4600000000;0.1100000000;2.6000000000;0.0790000000;12.0000000000;49.0000000000;0.9968000000;3.2100000000;0.5700000000;10.0000000000;5;21953062,2870533;26
red;7.7000000000;0.6000000000;0.0600000000;2.0000000000;0.0790000000;19.0000000000;41.0000000000;0.9969700000;3.3900000000;0.6200000000;10.1000000000;6;22845002,5139284;27
red;6.8000000000;0.5900000000;0.1000000000;1.7000000000;0.0630000000;34.0000000000;53.0000000000;0.9958000000;3.4100000000;0.6700000000;9.7000000000;5;23334890,7743835;28
red;9.1000000000;0.2200000000;0.2400000000;2.1000000000;0.0780000000;1.0000000000;28.0000000000;0.9990000000;3.4100000000;0.8700000000;10.3000000000;6;24340020,6904335;29
red;7.8000000000;0.7600000000;0.0400000000;2.3000000000;0.0920000000;15.0000000000;54.0000000000;0.9970000000;3.2600000000;0.6500000000;9.8000000000;5;25379617,4589256;30
red;13.7000000000;0.4150000000;0.6800000000;2.9000000000;0.0850000000;17.0000000000;43.0000000000;1.0014000000;3.0600000000;0.8000000000;10.0000000000;6;26236247,9864056;31
red;6.5000000000;0.3400000000;0.2700000000;2.8000000000;0.0670000000;8.0000000000;44.0000000000;0.9938400000;3.2100000000;0.5600000000;12.0000000000;6;27193533,0665258;32
red;8.6000000000;0.4900000000;0.2800000000;1.9000000000;0.1100000000;20.0000000000;136.0000000000;0.9972000000;2.9300000000;1.9500000000;9.9000000000;6;27515877,3225635;33
red;8.0000000000;0.5800000000;0.1600000000;2.0000000000;0.1200000000;3.0000000000;7.0000000000;0.9945400000;3.2200000000;0.5800000000;11.2000000000;6;29761398,5566495;34
red;10.7000000000;0.5200000000;0.3800000000;2.6000000000;0.0660000000;29.0000000000;56.0000000000;0.9957700000;3.1500000000;0.7900000000;12.1000000000;7;31155461,8289759;35
red;4.7000000000;0.6000000000;0.1700000000;2.3000000000;0.0580000000;17.0000000000;106.0000000000;0.9932000000;3.8500000000;0.6000000000;12.9000000000;6;31187710,2709848;36
red;8.6000000000;0.3150000000;0.4000000000;2.2000000000;0.0790000000;3.0000000000;6.0000000000;0.9951200000;3.2700000000;0.6700000000;11.9000000000;6;31404361,5191163;37
red;7.2000000000;0.6000000000;0.0400000000;2.5000000000;0.0760000000;18.0000000000;88.0000000000;0.9974500000;3.5300000000;0.5500000000;9.5000000000;5;32204506,3995837;38
red;8.4000000000;0.7450000000;0.1100000000;1.9000000000;0.0900000000;16.0000000000;63.0000000000;0.9965000000;3.1900000000;0.8200000000;9.6000000000;5;32372202,6752462;39
red;10.4000000000;0.4400000000;0.7300000000;6.5500000000;0.0740000000;38.0000000000;76.0000000000;0.9990000000;3.1700000000;0.8500000000;12.0000000000;7;33017510,0511893;40
red;10.4000000000;0.2600000000;0.4800000000;1.9000000000;0.0660000000;6.0000000000;10.0000000000;0.9972400000;3.3300000000;0.8700000000;10.9000000000;6;33068364,456101;41
red;12.0000000000;0.2800000000;0.4900000000;1.9000000000;0.0740000000;10.0000000000;21.0000000000;0.9976000000;2.9800000000;0.6600000000;9.9000000000;7;35171023,5973148;42
red;12.3000000000;0.3900000000;0.6300000000;2.3000000000;0.0910000000;6.0000000000;18.0000000000;1.0004000000;3.1600000000;0.4900000000;9.5000000000;5;35670045,3385081;43
red;7.8000000000;0.6000000000;0.2600000000;2.0000000000;0.0800000000;31.0000000000;131.0000000000;0.9962200000;3.2100000000;0.5200000000;9.9000000000;5;35946675,6247248;44
red;7.2000000000;0.3500000000;0.2600000000;1.8000000000;0.0830000000;33.0000000000;75.0000000000;0.9968000000;3.4000000000;0.5800000000;9.5000000000;6;37343748,9316944;45
red;7.9000000000;1.0400000000;0.0500000000;2.2000000000;0.0840000000;13.0000000000;29.0000000000;0.9959000000;3.2200000000;0.5500000000;9.9000000000;6;37580309,5287074;46
red;8.2000000000;0.3300000000;0.3900000000;2.5000000000;0.0740000000;29.0000000000;48.0000000000;0.9952800000;3.3200000000;0.8800000000;12.4000000000;7;39887107,5989217;47
red;9.6000000000;0.3800000000;0.4200000000;1.9000000000;0.0710000000;5.0000000000;13.0000000000;0.9965900000;3.1500000000;0.7500000000;10.5000000000;6;40699157,1105236;48
red;9.3000000000;0.3800000000;0.4800000000;3.8000000000;0.1320000000;3.0000000000;11.0000000000;0.9957700000;3.2300000000;0.5700000000;13.2000000000;6;41317415,1528723;49
white;7.2000000000;0.4700000000;0.1600000000;5.9000000000;0.0480000000;14.0000000000;125.0000000000;0.9942800000;3.0900000000;0.4900000000;9.8000000000;5;222872,4830995;1
white;4.9000000000;0.3300000000;0.3100000000;1.2000000000;0.0160000000;39.0000000000;150.0000000000;0.9871300000;3.3300000000;0.5900000000;14.0000000000;8;357460,7059933;2
white;7.6000000000;0.2500000000;0.3400000000;1.3000000000;0.0560000000;34.0000000000;176.0000000000;0.9943400000;3.1000000000;0.5100000000;9.5000000000;5;387070,2454151;3
white;6.4000000000;0.3100000000;0.2800000000;1.5000000000;0.0370000000;12.0000000000;119.0000000000;0.9919000000;3.3200000000;0.5100000000;10.4000000000;7;573011,1308116;4
white;9.7000000000;0.2400000000;0.4900000000;4.9000000000;0.0320000000;3.0000000000;18.0000000000;0.9936800000;2.8500000000;0.5400000000;10.0000000000;6;925509,2843308;5
white;7.9000000000;0.3400000000;0.4400000000;6.5000000000;0.0270000000;47.0000000000;126.0000000000;0.9912400000;2.9600000000;0.3700000000;12.5000000000;6;1106569,1079807;6
white;8.2000000000;0.2200000000;0.3000000000;1.8000000000;0.0470000000;47.0000000000;185.0000000000;0.9933000000;3.1300000000;0.5000000000;10.2000000000;6;1181168,513902;7
white;7.0000000000;0.1200000000;0.2900000000;10.3000000000;0.0390000000;41.0000000000;98.0000000000;0.9956400000;3.1900000000;0.3800000000;9.8000000000;8;1245604,3962895;8
white;5.9000000000;0.2300000000;0.2800000000;8.6000000000;0.0460000000;37.0000000000;142.0000000000;0.9943200000;3.2300000000;0.5300000000;10.6000000000;6;1557353,4607683;9
white;5.7000000000;0.2100000000;0.3200000000;1.6000000000;0.0300000000;33.0000000000;122.0000000000;0.9904400000;3.3300000000;0.5200000000;11.9000000000;6;1714791,2179918;10
white;6.5000000000;0.0800000000;0.3300000000;1.9000000000;0.0280000000;23.0000000000;93.0000000000;0.9910000000;3.3400000000;0.7000000000;12.0000000000;7;2038709,4092235;11
white;7.1000000000;0.2200000000;0.3200000000;16.9000000000;0.0560000000;49.0000000000;158.0000000000;0.9998000000;3.3700000000;0.3800000000;9.6000000000;6;2177269,7230063;12
white;6.8000000000;0.1100000000;0.2700000000;8.6000000000;0.0440000000;45.0000000000;104.0000000000;0.9945400000;3.2000000000;0.3700000000;9.9000000000;6;2251046,7710718;13
white;6.9000000000;0.2000000000;0.3600000000;1.5000000000;0.0310000000;38.0000000000;147.0000000000;0.9931000000;3.3500000000;0.5600000000;11.0000000000;6;2324680,3954569;14
white;7.8000000000;0.3000000000;0.3700000000;1.3000000000;0.0510000000;16.0000000000;96.0000000000;0.9941000000;3.3200000000;0.6200000000;10.0000000000;5;2392057,8602765;15
white;7.2000000000;0.2100000000;0.3300000000;3.0000000000;0.0360000000;35.0000000000;132.0000000000;0.9928000000;3.2500000000;0.4000000000;11.0000000000;6;2419942,5902431;16
white;6.8000000000;0.1800000000;0.3800000000;1.4000000000;0.0380000000;35.0000000000;111.0000000000;0.9918000000;3.3200000000;0.5900000000;11.2000000000;7;2483339,116609;17
white;6.5000000000;0.2600000000;0.3200000000;16.5000000000;0.0450000000;44.0000000000;166.0000000000;1.0000000000;3.3800000000;0.4600000000;9.5000000000;6;3175318,7933285;18
white;9.1000000000;0.3300000000;0.3800000000;1.7000000000;0.0620000000;50.5000000000;344.0000000000;0.9958000000;3.1000000000;0.7000000000;9.5000000000;5;3307106,0635028;19
white;6.3000000000;0.1900000000;0.2900000000;2.0000000000;0.0220000000;33.0000000000;96.0000000000;0.9890200000;3.0400000000;0.5400000000;12.8000000000;7;3315220,2116553;20
white;6.0000000000;0.3200000000;0.3000000000;1.9000000000;0.0330000000;41.0000000000;142.0000000000;0.9891200000;3.2900000000;0.4200000000;12.8000000000;7;3386986,0685661;21
white;7.3000000000;0.2000000000;0.2600000000;1.6000000000;0.0400000000;36.0000000000;123.0000000000;0.9923800000;3.3400000000;0.4400000000;10.8000000000;6;3439199,2731512;22
white;6.6000000000;0.3200000000;0.4700000000;15.6000000000;0.0630000000;27.0000000000;173.0000000000;0.9987200000;3.1800000000;0.5600000000;9.0000000000;5;3642653,6800407;23
white;7.9000000000;0.6400000000;0.4600000000;10.6000000000;0.2440000000;33.0000000000;227.0000000000;0.9983000000;2.8700000000;0.7400000000;9.1000000000;3;3711104,4941568;24
white;8.0000000000;0.2300000000;0.2800000000;2.7000000000;0.0480000000;49.0000000000;165.0000000000;0.9952000000;3.2600000000;0.7200000000;9.5000000000;6;3903620,9827706;25
white;6.8000000000;0.6700000000;0.3000000000;13.0000000000;0.2900000000;22.0000000000;193.0000000000;0.9984000000;3.0800000000;0.6700000000;9.0000000000;4;3937645,922639;26
white;6.8000000000;0.1500000000;0.3300000000;4.7000000000;0.0590000000;31.0000000000;118.0000000000;0.9956000000;3.4300000000;0.3900000000;9.0000000000;7;3996607,956445;27
white;5.8000000000;0.4200000000;0.3000000000;2.2000000000;0.0350000000;26.0000000000;129.0000000000;0.9890000000;3.3200000000;0.4700000000;12.9000000000;6;4205249,8302165;28
white;6.9000000000;0.1500000000;0.2800000000;4.4000000000;0.0290000000;14.0000000000;107.0000000000;0.9934700000;3.2400000000;0.4600000000;10.4000000000;8;4239127,6211141;29
white;6.0000000000;0.3900000000;0.2600000000;2.7000000000;0.0380000000;39.0000000000;187.0000000000;0.9932500000;3.4100000000;0.5000000000;10.8000000000;6;4742723,5532573;30
white;6.8000000000;0.3500000000;0.3200000000;2.4000000000;0.0480000000;35.0000000000;103.0000000000;0.9911000000;3.2800000000;0.4600000000;12.0000000000;8;4788866,8627969;31
white;5.8000000000;0.5550000000;0.2600000000;4.5000000000;0.0530000000;17.0000000000;126.0000000000;0.9943000000;3.2400000000;0.4600000000;9.1000000000;5;4845522,476184;32
white;7.6000000000;0.2300000000;0.4000000000;5.2000000000;0.0660000000;14.0000000000;91.0000000000;0.9948800000;3.1700000000;0.8000000000;9.7000000000;5;4861232,0258008;33
white;5.4000000000;0.5950000000;0.1000000000;2.8000000000;0.0420000000;26.0000000000;80.0000000000;0.9932000000;3.3600000000;0.3800000000;9.3000000000;5;5378486,7351956;34
white;6.5000000000;0.3600000000;0.3100000000;4.1000000000;0.0610000000;20.0000000000;134.0000000000;0.9947500000;3.1800000000;0.4500000000;9.0000000000;6;5431784,4649484;35
white;7.0000000000;0.2700000000;0.3200000000;6.8000000000;0.0470000000;47.0000000000;193.0000000000;0.9938000000;3.2300000000;0.3900000000;11.4000000000;6;5884390,4847416;36
white;7.8000000000;0.2900000000;0.3600000000;7.0000000000;0.0420000000;38.0000000000;161.0000000000;0.9941000000;3.2600000000;0.3700000000;11.2000000000;8;6154920,6079283;37
white;5.3000000000;0.3200000000;0.1200000000;6.6000000000;0.0430000000;22.0000000000;141.0000000000;0.9937000000;3.3600000000;0.6000000000;10.4000000000;6;6200383,5863086;38
white;6.5000000000;0.2400000000;0.3900000000;17.3000000000;0.0520000000;22.0000000000;126.0000000000;0.9988800000;3.1100000000;0.4700000000;9.2000000000;6;6329765,2502071;39
white;6.5000000000;0.5100000000;0.2500000000;1.7000000000;0.0480000000;39.0000000000;177.0000000000;0.9921200000;3.2800000000;0.5700000000;10.6000000000;5;6405316,9334869;40
white;6.5000000000;0.3500000000;0.2800000000;12.4000000000;0.0510000000;86.0000000000;213.0000000000;0.9962000000;3.1600000000;0.5100000000;9.9000000000;6;6417979,6612178;41
white;7.1000000000;0.3000000000;0.3600000000;6.8000000000;0.0550000000;44.5000000000;234.0000000000;0.9972000000;3.4900000000;0.6400000000;10.2000000000;6;6538671,1539357;42
white;7.7000000000;0.4200000000;0.3100000000;9.2000000000;0.0480000000;22.0000000000;221.0000000000;0.9969000000;3.0600000000;0.6100000000;9.2000000000;6;6544666,0775119;43
white;6.1000000000;0.3600000000;0.1600000000;6.4000000000;0.0370000000;36.0000000000;198.0000000000;0.9944000000;3.1700000000;0.6200000000;9.9000000000;6;6723864,1872844;44
white;7.1000000000;0.3100000000;0.1700000000;1.0000000000;0.0420000000;21.0000000000;144.0000000000;0.9930400000;3.1300000000;0.4000000000;9.6000000000;5;6915177,407099;45
white;7.0000000000;0.2200000000;0.2800000000;10.6000000000;0.0390000000;32.0000000000;117.0000000000;0.9935500000;3.0500000000;0.5500000000;11.5000000000;7;7014910,4160265;46
white;8.7000000000;0.3000000000;0.5900000000;1.7000000000;0.0460000000;10.0000000000;70.0000000000;0.9937300000;3.0600000000;0.5600000000;10.8000000000;4;7349423,7988171;47
white;9.2000000000;0.2700000000;0.3400000000;10.5000000000;0.0430000000;49.0000000000;228.0000000000;0.9974000000;3.0400000000;0.4100000000;10.4000000000;6;7424002,2499799;48
white;5.9000000000;0.2500000000;0.2700000000;1.5000000000;0.0290000000;37.0000000000;81.0000000000;0.9892000000;3.2000000000;0.4600000000;12.2000000000;6;7487140,7999856;49
