type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;random_num;rnum
white;5.3000000000;0.4300000000;0.1100000000;1.1000000000;0.0290000000;6.0000000000;51.0000000000;0.9907600000;3.5100000000;0.4800000000;11.2000000000;4;36459139,6106652;128
white;5.3000000000;0.4700000000;0.1000000000;1.3000000000;0.0360000000;11.0000000000;74.0000000000;0.9908200000;3.4800000000;0.5400000000;11.2000000000;4;77363813,0763147;306
red;5.3000000000;0.4700000000;0.1100000000;2.2000000000;0.0480000000;16.0000000000;89.0000000000;0.9918200000;3.5400000000;0.8800000000;13.6000000000;7;132320715,461435;166
red;5.3000000000;0.4700000000;0.1100000000;2.2000000000;0.0480000000;16.0000000000;89.0000000000;0.9918200000;3.5400000000;0.8800000000;13.5666666700;7;285402907,852739;382
white;5.3000000000;0.7600000000;0.0300000000;2.7000000000;0.0430000000;27.0000000000;93.0000000000;0.9932000000;3.3400000000;0.3800000000;9.2000000000;5;25013112,2135024;96
white;5.4000000000;0.2200000000;0.3500000000;6.5000000000;0.0290000000;26.0000000000;87.0000000000;0.9909200000;3.2900000000;0.4400000000;12.5000000000;7;240792,9925687;4
white;5.4000000000;0.2900000000;0.4700000000;3.0000000000;0.0520000000;47.0000000000;145.0000000000;0.9930000000;3.2900000000;0.7500000000;10.0000000000;6;76538030,2816532;298
white;5.4000000000;0.2900000000;0.3800000000;1.2000000000;0.0290000000;31.0000000000;132.0000000000;0.9889500000;3.2800000000;0.3600000000;12.4000000000;6;127952419,914959;499
white;5.4000000000;0.3300000000;0.3100000000;4.0000000000;0.0300000000;27.0000000000;108.0000000000;0.9903100000;3.3000000000;0.4300000000;12.2000000000;7;3457491,3803378;19
white;5.4000000000;0.5000000000;0.1300000000;5.0000000000;0.0280000000;12.0000000000;107.0000000000;0.9907900000;3.4800000000;0.8800000000;13.5000000000;7;46726033,433807;173
white;5.4000000000;0.5950000000;0.1000000000;2.8000000000;0.0420000000;26.0000000000;80.0000000000;0.9932000000;3.3600000000;0.3800000000;9.3000000000;5;122398220,07916;478
red;5.4000000000;0.7400000000;0.0900000000;1.7000000000;0.0890000000;16.0000000000;26.0000000000;0.9940200000;3.6700000000;0.5600000000;11.6000000000;6;247341510,130824;322
white;5.5000000000;0.4200000000;0.0900000000;1.6000000000;0.0190000000;18.0000000000;68.0000000000;0.9906000000;3.3300000000;0.5100000000;11.4000000000;7;50967960,6106567;188
red;5.5000000000;0.4900000000;0.0300000000;1.8000000000;0.0440000000;28.0000000000;87.0000000000;0.9908000000;3.5000000000;0.8200000000;14.0000000000;8;333615883,033464;461
white;5.6000000000;0.1500000000;0.3100000000;5.3000000000;0.0380000000;8.0000000000;79.0000000000;0.9923000000;3.3000000000;0.3900000000;10.5000000000;6;18197994,7095635;71
white;5.6000000000;0.1800000000;0.2900000000;2.3000000000;0.0400000000;5.0000000000;47.0000000000;0.9912600000;3.0700000000;0.4500000000;10.1000000000;4;95538025,0663033;381
white;5.6000000000;0.1900000000;0.2700000000;0.9000000000;0.0400000000;52.0000000000;103.0000000000;0.9902600000;3.5000000000;0.3900000000;11.2000000000;5;108469974,877798;428
white;5.6000000000;0.2300000000;0.2500000000;8.0000000000;0.0430000000;31.0000000000;101.0000000000;0.9942900000;3.1900000000;0.4200000000;10.4000000000;6;62298684,6820039;232
white;5.6000000000;0.2300000000;0.2900000000;3.1000000000;0.0230000000;19.0000000000;89.0000000000;0.9906800000;3.2500000000;0.5100000000;11.2000000000;6;67078582,9081628;252
white;5.6000000000;0.2550000000;0.5700000000;10.7000000000;0.0560000000;66.0000000000;171.0000000000;0.9946400000;3.2500000000;0.6100000000;10.4000000000;7;102030734,984268;408
white;5.6000000000;0.2900000000;0.0500000000;0.8000000000;0.0380000000;11.0000000000;30.0000000000;0.9924000000;3.3600000000;0.3500000000;9.2000000000;5;72772160,293326;282
red;5.6000000000;0.3100000000;0.3700000000;1.4000000000;0.0740000000;12.0000000000;96.0000000000;0.9954000000;3.3200000000;0.5800000000;9.2000000000;5;329418413,006587;454
white;5.6000000000;0.3200000000;0.3200000000;8.3000000000;0.0430000000;32.0000000000;105.0000000000;0.9926600000;3.2400000000;0.4700000000;11.2000000000;6;3574994,0244733;20
white;5.6000000000;0.3400000000;0.3000000000;6.9000000000;0.0380000000;23.0000000000;89.0000000000;0.9926600000;3.2500000000;0.4900000000;11.1000000000;6;77272914,5935708;305
white;5.6000000000;0.3500000000;0.4000000000;6.3000000000;0.0220000000;23.0000000000;174.0000000000;0.9922000000;3.5400000000;0.5000000000;11.6000000000;7;88890621,067495;361
white;5.6000000000;0.4600000000;0.2400000000;4.8000000000;0.0420000000;24.0000000000;72.0000000000;0.9908000000;3.2900000000;0.3700000000;12.6000000000;6;76787813,3312797;301
red;5.6000000000;0.5000000000;0.0900000000;2.3000000000;0.0490000000;17.0000000000;99.0000000000;0.9937000000;3.6300000000;0.6300000000;13.0000000000;5;174814029,239277;221
red;5.6000000000;0.5400000000;0.0400000000;1.7000000000;0.0490000000;5.0000000000;13.0000000000;0.9942000000;3.7200000000;0.5800000000;11.4000000000;5;95091102,4426766;117
red;5.6000000000;0.9150000000;0.0000000000;2.1000000000;0.0410000000;17.0000000000;78.0000000000;0.9934600000;3.6800000000;0.7300000000;11.4000000000;5;235537279,297895;302
white;5.7000000000;0.2100000000;0.2400000000;2.3000000000;0.0470000000;60.0000000000;189.0000000000;0.9950000000;3.6500000000;0.7200000000;10.1000000000;6;65951469,7549487;245
white;5.7000000000;0.2400000000;0.4700000000;6.3000000000;0.0690000000;35.0000000000;182.0000000000;0.9939100000;3.1100000000;0.4600000000;9.7333333330;5;57652234,2742151;211
white;5.7000000000;0.2450000000;0.3300000000;1.1000000000;0.0490000000;28.0000000000;150.0000000000;0.9927000000;3.1300000000;0.4200000000;9.3000000000;5;77080519,176895;304
white;5.7000000000;0.2700000000;0.3200000000;1.2000000000;0.0460000000;20.0000000000;155.0000000000;0.9934000000;3.8000000000;0.4100000000;10.2000000000;6;44566957,0977917;165
white;5.7000000000;0.3100000000;0.2800000000;4.1000000000;0.0300000000;22.0000000000;86.0000000000;0.9906200000;3.3100000000;0.3800000000;11.7000000000;7;39111855,5745684;141
white;5.7000000000;0.4300000000;0.3000000000;5.7000000000;0.0390000000;24.0000000000;98.0000000000;0.9920000000;3.5400000000;0.6100000000;12.3000000000;7;62686061,3325544;234
white;5.7000000000;0.6950000000;0.0600000000;6.8000000000;0.0420000000;9.0000000000;84.0000000000;0.9943200000;3.4400000000;0.4400000000;10.2000000000;5;44448030,4614008;164
red;5.7000000000;1.1300000000;0.0900000000;1.5000000000;0.1720000000;7.0000000000;19.0000000000;0.9940000000;3.5000000000;0.4800000000;9.8000000000;4;339589770,360437;475
white;5.8000000000;0.1700000000;0.3000000000;1.4000000000;0.0370000000;55.0000000000;130.0000000000;0.9909000000;3.2900000000;0.3800000000;11.3000000000;6;39268084,0093958;142
white;5.8000000000;0.1800000000;0.2800000000;1.3000000000;0.0340000000;9.0000000000;94.0000000000;0.9909200000;3.2100000000;0.5200000000;11.2000000000;6;56133019,4052394;203
white;5.8000000000;0.1900000000;0.4900000000;4.9000000000;0.0400000000;44.0000000000;118.0000000000;0.9935000000;3.3400000000;0.3800000000;9.5000000000;7;83201480,0375369;333
white;5.8000000000;0.2300000000;0.3100000000;4.5000000000;0.0460000000;42.0000000000;124.0000000000;0.9932400000;3.3100000000;0.6400000000;10.8000000000;6;48646667,435496;178
white;5.8000000000;0.2300000000;0.2700000000;1.8000000000;0.0430000000;24.0000000000;69.0000000000;0.9933000000;3.3800000000;0.3100000000;9.4000000000;6;41628965,379976;151
white;5.8000000000;0.2700000000;0.4000000000;1.2000000000;0.0760000000;47.0000000000;130.0000000000;0.9918500000;3.1300000000;0.4500000000;10.3000000000;6;47021539,3008192;174
white;5.8000000000;0.2800000000;0.3400000000;4.0000000000;0.0310000000;40.0000000000;99.0000000000;0.9896000000;3.3900000000;0.3900000000;12.8000000000;7;93896907,9852297;375
white;5.8000000000;0.3000000000;0.2700000000;1.7000000000;0.0140000000;45.0000000000;104.0000000000;0.9891400000;3.4000000000;0.5600000000;12.6000000000;7;86080658,2675013;347
white;5.8000000000;0.3100000000;0.3300000000;1.2000000000;0.0360000000;23.0000000000;99.0000000000;0.9916000000;3.1800000000;0.6000000000;10.5000000000;6;71226318,445555;273
white;5.8000000000;0.3100000000;0.3200000000;4.5000000000;0.0240000000;28.0000000000;94.0000000000;0.9890600000;3.2500000000;0.5200000000;13.7000000000;7;38563779,6750492;137
white;5.8000000000;0.3200000000;0.3800000000;4.7500000000;0.0330000000;23.0000000000;94.0000000000;0.9910000000;3.4200000000;0.4200000000;11.8000000000;7;22275908,0603111;81
white;5.8000000000;0.3200000000;0.2300000000;1.5000000000;0.0330000000;39.0000000000;121.0000000000;0.9887000000;2.9600000000;0.3500000000;12.0000000000;5;80751312,3036334;321
white;5.8000000000;0.3350000000;0.1400000000;5.8000000000;0.0460000000;49.0000000000;197.0000000000;0.9937000000;3.3000000000;0.7100000000;10.3000000000;5;9609766,5664208;41
white;5.8000000000;0.3600000000;0.2600000000;3.3000000000;0.0380000000;40.0000000000;153.0000000000;0.9911000000;3.3400000000;0.5500000000;11.3000000000;6;29848205,2735503;113
white;5.8000000000;0.4000000000;0.4200000000;4.4000000000;0.0470000000;38.5000000000;245.0000000000;0.9937000000;3.2500000000;0.5700000000;9.6000000000;6;80398488,6528655;317
white;5.8000000000;0.5550000000;0.2600000000;4.5000000000;0.0530000000;17.0000000000;126.0000000000;0.9943000000;3.2400000000;0.4600000000;9.1000000000;5;18528178,839248;72
red;5.8000000000;0.6100000000;0.1100000000;1.8000000000;0.0660000000;18.0000000000;28.0000000000;0.9948300000;3.5500000000;0.6600000000;10.9000000000;6;239381268,62591;310
white;5.8000000000;0.6100000000;0.0100000000;8.4000000000;0.0410000000;31.0000000000;104.0000000000;0.9909000000;3.2600000000;0.7200000000;14.0500000000;7;80499703,3960496;318
red;5.8000000000;1.0100000000;0.6600000000;2.0000000000;0.0390000000;15.0000000000;88.0000000000;0.9935700000;3.6600000000;0.6000000000;11.5000000000;6;165346171,557047;212
white;5.9000000000;0.1700000000;0.2900000000;3.1000000000;0.0300000000;32.0000000000;123.0000000000;0.9891300000;3.4100000000;0.3300000000;13.7000000000;7;86332207,1047774;348
white;5.9000000000;0.1700000000;0.2800000000;0.7000000000;0.0270000000;5.0000000000;28.0000000000;0.9898500000;3.1300000000;0.3200000000;10.6000000000;5;39063557,6501937;140
white;5.9000000000;0.2000000000;0.2800000000;12.8000000000;0.0380000000;29.0000000000;132.0000000000;0.9942600000;3.3100000000;0.5700000000;11.8000000000;7;63786827,3694145;239
white;5.9000000000;0.2100000000;0.2800000000;4.6000000000;0.0530000000;40.0000000000;199.0000000000;0.9964000000;3.7200000000;0.7000000000;10.0000000000;4;16934982,9625574;63
white;5.9000000000;0.2200000000;0.3800000000;1.3000000000;0.0460000000;24.0000000000;90.0000000000;0.9923200000;3.2000000000;0.4700000000;10.0000000000;6;15113606,0639473;58
white;5.9000000000;0.2200000000;0.2900000000;4.2000000000;0.0370000000;69.0000000000;144.0000000000;0.9921400000;3.1300000000;0.7400000000;10.8000000000;7;22554168,1610778;84
white;5.9000000000;0.2300000000;0.3000000000;12.9000000000;0.0540000000;57.0000000000;170.0000000000;0.9972000000;3.2800000000;0.3900000000;9.4000000000;5;111677392,170197;444
white;5.9000000000;0.2600000000;0.3000000000;1.0000000000;0.0360000000;38.0000000000;114.0000000000;0.9928000000;3.5800000000;0.4800000000;9.4000000000;5;25730474,1563623;99
white;5.9000000000;0.2600000000;0.2100000000;12.5000000000;0.0340000000;36.0000000000;152.0000000000;0.9972000000;3.2800000000;0.4300000000;9.5000000000;6;58368678,3986527;213
white;5.9000000000;0.2600000000;0.2400000000;2.4000000000;0.0460000000;27.0000000000;132.0000000000;0.9923400000;3.6300000000;0.7300000000;11.3000000000;5;61773168,6754858;229
white;5.9000000000;0.2700000000;0.2700000000;9.0000000000;0.0510000000;43.0000000000;136.0000000000;0.9941000000;3.2500000000;0.5300000000;10.7000000000;6;60108185,9871259;221
white;5.9000000000;0.2700000000;0.2700000000;5.0000000000;0.0350000000;14.0000000000;97.0000000000;0.9905800000;3.1000000000;0.3300000000;11.8000000000;7;70056929,7655591;269
red;5.9000000000;0.2900000000;0.2500000000;13.4000000000;0.0670000000;72.0000000000;160.0000000000;0.9972100000;3.3300000000;0.5400000000;10.3000000000;6;334712579,190562;466
white;5.9000000000;0.3200000000;0.3900000000;3.3000000000;0.1140000000;24.0000000000;140.0000000000;0.9934000000;3.0900000000;0.4500000000;9.2000000000;6;44421715,9413378;163
white;5.9000000000;0.3200000000;0.3300000000;2.1000000000;0.0270000000;35.0000000000;138.0000000000;0.9894500000;3.3700000000;0.4200000000;12.7000000000;6;36901862,9006885;129
white;5.9000000000;0.3300000000;0.3200000000;8.1000000000;0.0380000000;9.0000000000;34.0000000000;0.9911000000;3.2200000000;0.3600000000;12.7000000000;7;61788810,7042141;230
white;5.9000000000;0.4150000000;0.0200000000;0.8000000000;0.0380000000;22.0000000000;63.0000000000;0.9932000000;3.3600000000;0.3600000000;9.3000000000;5;78191733,2563432;310
red;5.9000000000;0.4600000000;0.0000000000;1.9000000000;0.0770000000;25.0000000000;44.0000000000;0.9938500000;3.5000000000;0.5300000000;11.2000000000;5;136992889,930758;178
white;5.9000000000;0.6200000000;0.2800000000;3.5000000000;0.0390000000;55.0000000000;152.0000000000;0.9907000000;3.4400000000;0.4400000000;12.0000000000;6;74540337,2510563;286
red;5.9000000000;0.6450000000;0.1200000000;2.0000000000;0.0750000000;32.0000000000;44.0000000000;0.9954700000;3.5700000000;0.7100000000;10.2000000000;5;160122533,036586;204
white;5.9000000000;0.6550000000;0.0000000000;5.6000000000;0.0330000000;8.0000000000;31.0000000000;0.9936000000;3.3200000000;0.5100000000;10.5000000000;4;105032079,921948;413
white;6.0000000000;0.2200000000;0.2300000000;5.0000000000;0.0450000000;10.0000000000;122.0000000000;0.9926100000;2.9400000000;0.6300000000;10.0000000000;6;43144907,115674;153
white;6.0000000000;0.2400000000;0.3400000000;1.0000000000;0.0360000000;52.0000000000;184.0000000000;0.9909700000;3.4400000000;0.4400000000;11.4500000000;6;26360159,0613517;104
white;6.0000000000;0.2400000000;0.3300000000;2.5000000000;0.0260000000;31.0000000000;85.0000000000;0.9901400000;3.1300000000;0.5000000000;11.3000000000;7;76500795,0727826;297
white;6.0000000000;0.2600000000;0.2900000000;1.0000000000;0.0320000000;27.0000000000;96.0000000000;0.9896000000;3.3800000000;0.4400000000;12.3000000000;6;118767873,361617;468
white;6.0000000000;0.2700000000;0.2700000000;1.6000000000;0.0460000000;32.0000000000;113.0000000000;0.9924000000;3.4100000000;0.5100000000;10.5000000000;7;59699856,9063819;217
white;6.0000000000;0.2700000000;0.4000000000;1.7000000000;0.0210000000;18.0000000000;82.0000000000;0.9891000000;3.2400000000;0.9500000000;13.1333333300;6;43981144,0065205;159
white;6.0000000000;0.2800000000;0.3500000000;1.9000000000;0.0370000000;16.0000000000;120.0000000000;0.9933000000;3.1600000000;0.6900000000;10.6000000000;5;109207110,662101;431
white;6.0000000000;0.2900000000;0.2100000000;15.5500000000;0.0430000000;20.0000000000;142.0000000000;0.9965800000;3.1100000000;0.5400000000;10.1000000000;6;41193606,9890735;148
white;6.0000000000;0.3000000000;0.4400000000;1.5000000000;0.0460000000;15.0000000000;182.0000000000;0.9945500000;3.5000000000;0.5200000000;10.4000000000;5;113389077,892979;451
white;6.0000000000;0.3300000000;0.3800000000;9.7000000000;0.0400000000;29.0000000000;124.0000000000;0.9954000000;3.4700000000;0.4800000000;11.0000000000;6;84401403,5259577;337
red;6.0000000000;0.3300000000;0.3200000000;12.9000000000;0.0540000000;6.0000000000;113.0000000000;0.9957200000;3.3000000000;0.5600000000;11.5000000000;4;315595867,33239;433
white;6.0000000000;0.3500000000;0.4600000000;0.9000000000;0.0330000000;9.0000000000;65.0000000000;0.9893400000;3.2400000000;0.3500000000;12.1000000000;4;105711578,944505;418
white;6.0000000000;0.3600000000;0.1600000000;6.3000000000;0.0360000000;36.0000000000;191.0000000000;0.9942000000;3.1700000000;0.6200000000;9.8000000000;5;79741838,2333157;315
red;6.0000000000;0.4200000000;0.1900000000;2.0000000000;0.0750000000;22.0000000000;47.0000000000;0.9952200000;3.3900000000;0.7800000000;10.0000000000;6;137505243,089309;180
red;6.0000000000;0.4900000000;0.0000000000;2.3000000000;0.0680000000;15.0000000000;33.0000000000;0.9929200000;3.5800000000;0.5900000000;12.5000000000;6;216893313,31074;286
red;6.0000000000;0.5000000000;0.0000000000;1.4000000000;0.0570000000;15.0000000000;26.0000000000;0.9944800000;3.3600000000;0.4500000000;9.5000000000;5;189753894,743888;244
red;6.0000000000;0.5800000000;0.2000000000;2.4000000000;0.0750000000;15.0000000000;50.0000000000;0.9946700000;3.5800000000;0.6700000000;12.5000000000;6;210165391,816549;276
white;6.1000000000;0.1600000000;0.2700000000;12.6000000000;0.0640000000;63.0000000000;162.0000000000;0.9994000000;3.6600000000;0.4300000000;8.9000000000;5;83279467,595077;334
white;6.1000000000;0.1600000000;0.2900000000;6.0000000000;0.0300000000;29.0000000000;144.0000000000;0.9947400000;3.6800000000;0.4600000000;10.7000000000;6;111412558,481693;442
white;6.1000000000;0.1700000000;0.2100000000;1.9000000000;0.0900000000;44.0000000000;130.0000000000;0.9925500000;3.0700000000;0.4100000000;9.7000000000;5;43925382,9284907;157
white;6.1000000000;0.1800000000;0.3800000000;2.3000000000;0.0330000000;28.0000000000;111.0000000000;0.9896200000;3.1600000000;0.4900000000;12.4000000000;6;100770227,098072;403
white;6.1000000000;0.2000000000;0.3400000000;9.5000000000;0.0410000000;38.0000000000;201.0000000000;0.9950000000;3.1400000000;0.4400000000;10.1000000000;3;98502578,5703323;399
white;6.1000000000;0.2000000000;0.4000000000;1.9000000000;0.0280000000;32.0000000000;138.0000000000;0.9914000000;3.2600000000;0.7200000000;11.7000000000;5;87194862,3581568;352
white;6.1000000000;0.2200000000;0.4600000000;1.8000000000;0.1600000000;34.0000000000;74.0000000000;0.9884000000;3.1900000000;0.3300000000;13.4000000000;6;93790062,465606;373
white;6.1000000000;0.2400000000;0.2700000000;11.5000000000;0.0500000000;51.0000000000;133.0000000000;0.9947600000;3.2200000000;0.3700000000;10.8000000000;6;62585708,0627753;233
white;6.1000000000;0.2500000000;0.3000000000;1.2000000000;0.0360000000;42.0000000000;107.0000000000;0.9910000000;3.3400000000;0.5600000000;10.8000000000;7;60499249,2781885;223
white;6.1000000000;0.2500000000;0.4900000000;7.6000000000;0.0520000000;67.0000000000;226.0000000000;0.9956000000;3.1600000000;0.4700000000;8.9000000000;5;40288,5500147;2
white;6.1000000000;0.3200000000;0.3700000000;1.8000000000;0.0510000000;13.0000000000;200.0000000000;0.9945000000;3.4900000000;0.4400000000;10.5000000000;4;64469827,6992861;242
red;6.1000000000;0.3400000000;0.2500000000;1.8000000000;0.0840000000;4.0000000000;28.0000000000;0.9946400000;3.3600000000;0.4400000000;10.1000000000;5;224849560,373023;290
white;6.1000000000;0.3600000000;0.2600000000;8.1500000000;0.0350000000;14.0000000000;88.0000000000;0.9903100000;3.0600000000;0.2700000000;13.0000000000;7;115372566,391281;458
white;6.1000000000;0.3800000000;0.4200000000;5.0000000000;0.0160000000;31.0000000000;113.0000000000;0.9900700000;3.1500000000;0.3100000000;12.4000000000;7;82817824,0207734;331
red;6.1000000000;0.3800000000;0.1500000000;1.8000000000;0.0720000000;6.0000000000;19.0000000000;0.9955000000;3.4200000000;0.5700000000;9.4000000000;5;18420845,3065819;21
red;6.1000000000;0.5600000000;0.0000000000;2.2000000000;0.0790000000;6.0000000000;9.0000000000;0.9948000000;3.5900000000;0.5400000000;11.5000000000;6;298595041,258996;401
red;6.1000000000;0.6000000000;0.0800000000;1.8000000000;0.0710000000;14.0000000000;45.0000000000;0.9933600000;3.3800000000;0.5400000000;11.0000000000;5;189936626,757266;246
red;6.1000000000;0.6400000000;0.0200000000;2.4000000000;0.0690000000;26.0000000000;46.0000000000;0.9935800000;3.4700000000;0.4500000000;11.0000000000;5;120977055,319173;149
red;6.1000000000;0.7150000000;0.1000000000;2.6000000000;0.0530000000;13.0000000000;27.0000000000;0.9936200000;3.5700000000;0.5000000000;11.9000000000;5;243401811,573175;314
white;6.2000000000;0.1600000000;0.3200000000;1.1000000000;0.0360000000;74.0000000000;184.0000000000;0.9909600000;3.2200000000;0.4100000000;11.0000000000;6;76653733,6105255;300
white;6.2000000000;0.1600000000;0.3400000000;1.7000000000;0.0380000000;85.0000000000;153.0000000000;0.9909000000;3.3300000000;0.8600000000;12.0000000000;7;51792638,8567146;191
white;6.2000000000;0.1900000000;0.3800000000;5.1000000000;0.0190000000;22.0000000000;82.0000000000;0.9896100000;3.0500000000;0.3600000000;12.5000000000;6;101395181,815576;406
white;6.2000000000;0.2000000000;0.3300000000;5.4000000000;0.0280000000;21.0000000000;75.0000000000;0.9901200000;3.3600000000;0.4100000000;13.5000000000;7;126112900,852101;495
white;6.2000000000;0.2000000000;0.2600000000;1.1000000000;0.0470000000;42.0000000000;119.0000000000;0.9915800000;3.4800000000;0.6000000000;11.0000000000;7;79092314,2943011;313
white;6.2000000000;0.2200000000;0.2700000000;1.5000000000;0.0640000000;20.0000000000;132.0000000000;0.9938000000;3.2200000000;0.4600000000;9.2000000000;6;49431859,9316204;183
white;6.2000000000;0.2400000000;0.2700000000;2.9000000000;0.0390000000;30.0000000000;123.0000000000;0.9895900000;3.1200000000;0.3700000000;12.8000000000;6;94683487,6863668;378
white;6.2000000000;0.2500000000;0.3900000000;1.3000000000;0.0510000000;42.0000000000;135.0000000000;0.9906000000;3.2300000000;0.4000000000;11.1000000000;6;731469,1519434;7
white;6.2000000000;0.2550000000;0.2700000000;1.3000000000;0.0370000000;30.0000000000;86.0000000000;0.9883400000;3.0500000000;0.5900000000;12.9000000000;7;19383326,2354875;73
white;6.2000000000;0.2800000000;0.5700000000;1.0000000000;0.0430000000;50.0000000000;92.0000000000;0.9900400000;3.1700000000;0.3600000000;11.5000000000;6;2527888,0018574;14
white;6.2000000000;0.2900000000;0.3200000000;3.6000000000;0.0260000000;39.0000000000;138.0000000000;0.9892000000;3.3100000000;0.3700000000;13.1000000000;7;69621061,9411944;266
white;6.2000000000;0.3200000000;0.3200000000;2.2000000000;0.0360000000;15.0000000000;70.0000000000;0.9899000000;3.1600000000;0.4800000000;12.7000000000;6;89069147,6936729;362
white;6.2000000000;0.3300000000;0.2900000000;1.3000000000;0.0420000000;26.0000000000;138.0000000000;0.9956000000;3.7700000000;0.6400000000;9.5000000000;5;60086128,5426675;220
white;6.2000000000;0.3600000000;0.1400000000;8.9000000000;0.0360000000;38.0000000000;155.0000000000;0.9962200000;3.2700000000;0.5000000000;9.4000000000;5;19985983,6929636;76
white;6.2000000000;0.3600000000;0.3800000000;3.2000000000;0.0310000000;20.0000000000;89.0000000000;0.9895600000;3.0600000000;0.3300000000;12.0000000000;7;103054273,888491;410
white;6.2000000000;0.3800000000;0.4200000000;2.5000000000;0.0380000000;34.0000000000;117.0000000000;0.9913200000;3.3600000000;0.5900000000;11.6000000000;7;71202381,5920898;272
red;6.2000000000;0.3900000000;0.4300000000;2.0000000000;0.0710000000;14.0000000000;24.0000000000;0.9942800000;3.4500000000;0.8700000000;11.2000000000;7;78655106,296715;99
