type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;rnumy;avg_fixed_acidity;avg_volatile_acidity;avg_citric_acid;avg_residual_sugar;avg_chlorides;avg_free_sulfur_dioxide;avg_total_sulfur_dioxide;avg_density;avg_pH;avg_sulphates;avg_alcohol;avg_quality;rel_err_fixed_acidity;rel_err_volatile_acidity;rel_err_citric_acid;rel_err_residual_sugar;rel_err_chlorides;rel_err_free_sulfur_dioxide;rel_err_total_sulfur_dioxide;rel_err_density;rel_err_pH;rel_err_sulphates;rel_err_alcohol;rel_err_quality;rel_err;rnum;repeats
white;6.4000000000;0.3100000000;0.3800000000;2.9000000000;0.0380000000;19.0000000000;102.0000000000;0.9912000000;3.1700000000;0.3500000000;11.0000000000;7;21;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.144741;0.231976;0.206527;0.325372;0.435900;0.247877;0.070156;0.004412;0.026410;0.389122;0.062762;0;6.145255;650;1
white;6.4000000000;0.3300000000;0.3100000000;5.5000000000;0.0480000000;42.0000000000;173.0000000000;0.9951000000;3.1900000000;0.6600000000;9.3000000000;6;174;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.144741;0.182426;0.015727;0.279466;0.287453;0.662587;0.815069;0.000494;0.020268;0.151939;0.101483;0;6.661653;769;1
white;6.4000000000;0.4000000000;0.1900000000;3.2000000000;0.0330000000;28.0000000000;124.0000000000;0.9904000000;3.2200000000;0.5400000000;12.7000000000;7;1053;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.144741;0.009001;0.396736;0.255583;0.510124;0.108391;0.300974;0.005215;0.011054;0.057503;0.227007;0;6.026329;630;1
red;6.4000000000;0.4000000000;0.2300000000;1.6000000000;0.0660000000;5.0000000000;12.0000000000;0.9958000000;3.3400000000;0.5600000000;9.2000000000;5;49;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.144741;0.009001;0.269733;0.627791;0.020248;0.802072;0.874099;0.000208;0.025800;0.022596;0.111144;0;6.907433;743;1
white;6.4000000000;0.4600000000;0.0800000000;4.9000000000;0.0460000000;34.0000000000;144.0000000000;0.9944500000;3.1000000000;0.5600000000;10.0000000000;5;773;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.144741;0.139648;0.745994;0.139888;0.317142;0.345903;0.510809;0.001147;0.047909;0.022596;0.033852;0;6.449629;722;1
white;6.4000000000;0.5950000000;0.1400000000;5.2000000000;0.0580000000;15.0000000000;97.0000000000;0.9951000000;3.3800000000;0.3600000000;9.0000000000;4;142;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.144741;0.474110;0.555489;0.209677;0.139005;0.406218;0.017697;0.000494;0.038085;0.371669;0.130467;0;6.487652;732;1
white;6.5000000000;0.1900000000;0.1000000000;1.3000000000;0.0460000000;23.0000000000;107.0000000000;0.9937000000;3.2900000000;0.4500000000;10.0000000000;5;1024;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.827233;0.529275;0.682492;0.697580;0.317142;0.089535;0.122615;0.001900;0.010444;0.214586;0.033852;0;6.526654;744;1
white;6.5000000000;0.2800000000;0.3400000000;9.9000000000;0.0380000000;30.0000000000;133.0000000000;0.9954000000;3.1100000000;0.4400000000;9.8000000000;5;323;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.827233;0.306301;0.079525;1.303039;0.435900;0.187562;0.395400;0.000193;0.044838;0.232040;0.053175;0;6.865206;807;1
white;6.5000000000;0.3100000000;0.1400000000;7.5000000000;0.0440000000;34.0000000000;133.0000000000;0.9955000000;3.2200000000;0.5000000000;9.5000000000;5;19;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.827233;0.231976;0.555489;0.744727;0.346832;0.345903;0.395400;0.000093;0.011054;0.127318;0.082160;0;6.668185;770;1
white;6.5000000000;0.3700000000;0.3300000000;3.9000000000;0.0270000000;40.0000000000;130.0000000000;0.9906000000;3.2800000000;0.3900000000;12.7000000000;7;1328;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.827233;0.083326;0.047774;0.092741;0.599192;0.583416;0.363924;0.005014;0.007373;0.319308;0.227007;0;6.156308;652;1
white;6.6000000000;0.1300000000;0.3000000000;4.9000000000;0.0580000000;47.0000000000;131.0000000000;0.9946000000;3.5100000000;0.4500000000;10.3000000000;6;954;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.677925;0.047477;0.139888;0.139005;0.860514;0.374416;0.000996;0.078012;0.214586;0.004868;0;6.047413;634;1
white;6.6000000000;0.1600000000;0.2900000000;1.8000000000;0.0500000000;40.0000000000;147.0000000000;0.9912000000;3.0600000000;0.4400000000;11.4000000000;7;1263;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.603600;0.079228;0.581265;0.257763;0.583416;0.542284;0.004412;0.060194;0.232040;0.101407;0;6.555335;751;1
white;6.6000000000;0.2000000000;0.3800000000;7.9000000000;0.0520000000;30.0000000000;145.0000000000;0.9947000000;3.3200000000;0.5600000000;11.0000000000;7;880;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.504500;0.206527;0.837779;0.228074;0.187562;0.521300;0.000896;0.019658;0.022596;0.062762;0;6.101380;644;1
white;6.6000000000;0.2300000000;0.2600000000;1.3000000000;0.0450000000;16.0000000000;128.0000000000;0.9934000000;3.3600000000;0.6000000000;10.0000000000;6;1393;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.430175;0.174480;0.697580;0.331987;0.366633;0.342941;0.002202;0.031943;0.047217;0.033852;0;5.968736;613;1
white;6.6000000000;0.2300000000;0.3200000000;0.9000000000;0.0410000000;25.0000000000;79.0000000000;0.9926000000;3.3900000000;0.5400000000;10.2000000000;7;936;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.430175;0.016023;0.790632;0.391366;0.010364;0.171153;0.003005;0.041156;0.057503;0.014529;0;5.435632;492;1
white;6.6000000000;0.2500000000;0.2400000000;1.7000000000;0.0480000000;26.0000000000;124.0000000000;0.9942000000;3.3700000000;0.6000000000;10.1000000000;6;1458;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.380625;0.237982;0.604528;0.287453;0.029220;0.300974;0.001398;0.035014;0.047217;0.024191;0;5.458328;494;1
white;6.6000000000;0.2600000000;0.2900000000;1.4000000000;0.0390000000;13.0000000000;67.0000000000;0.9915000000;3.0500000000;0.4900000000;10.9000000000;6;878;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.355851;0.079228;0.674317;0.421055;0.485389;0.297054;0.004110;0.063265;0.144772;0.053100;0;6.087867;641;1
white;6.6000000000;0.2700000000;0.3000000000;1.9000000000;0.0250000000;14.0000000000;153.0000000000;0.9928000000;3.2900000000;0.6200000000;10.5000000000;6;1256;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.331076;0.047477;0.558002;0.628881;0.445804;0.605234;0.002804;0.010444;0.082125;0.014454;0;6.236027;672;1
red;6.6000000000;0.3900000000;0.4900000000;1.7000000000;0.0700000000;23.0000000000;149.0000000000;0.9922000000;3.1200000000;0.5000000000;11.5000000000;6;592;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.033776;0.555786;0.604528;0.039130;0.089535;0.563267;0.003407;0.041767;0.127318;0.111069;0;5.679309;529;1
red;6.6000000000;0.5000000000;0.0000000000;1.8000000000;0.0620000000;21.0000000000;28.0000000000;0.9935200000;3.4400000000;0.5500000000;12.3000000000;6;1122;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.238748;1.000000;0.581265;0.079627;0.168706;0.706231;0.002081;0.056513;0.040050;0.188361;0;6.571308;702;1
red;6.6000000000;0.5200000000;0.0400000000;2.2000000000;0.0690000000;8.0000000000;15.0000000000;0.9956000000;3.4000000000;0.6300000000;9.4000000000;6;52;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.288297;0.872997;0.488213;0.024285;0.683316;0.842624;0.000007;0.044228;0.099578;0.091821;0;6.945092;750;1
white;6.6000000000;0.5600000000;0.1600000000;3.1000000000;0.0450000000;28.0000000000;92.0000000000;0.9940000000;3.1200000000;0.3500000000;9.1000000000;6;1359;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.387397;0.491988;0.278846;0.331987;0.108391;0.034760;0.001599;0.041767;0.389122;0.120805;0;5.696388;559;1
white;6.6000000000;0.5600000000;0.2200000000;8.9000000000;0.0340000000;27.0000000000;133.0000000000;0.9967500000;3.2000000000;0.5100000000;9.1000000000;5;797;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.387397;0.301483;1.070409;0.495279;0.068806;0.395400;0.001162;0.017197;0.109864;0.120805;0;6.477528;726;1
red;6.6000000000;0.5800000000;0.0200000000;2.4000000000;0.0690000000;19.0000000000;40.0000000000;0.9938700000;3.3800000000;0.6600000000;12.6000000000;6;1336;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.436947;0.936498;0.441687;0.024285;0.247877;0.580330;0.001730;0.038085;0.151939;0.217345;0;6.586449;704;1
white;6.6000000000;0.5800000000;0.3000000000;5.1000000000;0.0570000000;30.0000000000;123.0000000000;0.9949000000;3.2400000000;0.3800000000;9.0000000000;5;263;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.509726;0.436947;0.047477;0.186414;0.153850;0.187562;0.290482;0.000695;0.004911;0.336762;0.130467;0;5.285293;455;1
white;6.7000000000;0.1300000000;0.2800000000;1.2000000000;0.0460000000;35.0000000000;140.0000000000;0.9927000000;3.3300000000;0.3300000000;10.1000000000;7;1342;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.677925;0.110979;0.720843;0.317142;0.385489;0.468842;0.002905;0.022729;0.424030;0.024191;0;6.347293;698;1
white;6.7000000000;0.1700000000;0.3700000000;2.0000000000;0.0390000000;34.0000000000;125.0000000000;0.9922000000;3.2600000000;0.6000000000;10.8000000000;7;672;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.578825;0.174777;0.534739;0.421055;0.345903;0.311466;0.003407;0.001230;0.047217;0.043439;0;5.654276;543;1
white;6.7000000000;0.1700000000;0.5000000000;2.1000000000;0.0430000000;27.0000000000;122.0000000000;0.9923000000;3.1500000000;0.4500000000;10.3000000000;6;289;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.578825;0.587536;0.511476;0.361676;0.068806;0.279991;0.003307;0.032553;0.214586;0.004868;0;5.835842;590;1
white;6.7000000000;0.1900000000;0.2300000000;6.2000000000;0.0470000000;36.0000000000;117.0000000000;0.9945000000;3.3400000000;0.4300000000;9.6000000000;6;803;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.529275;0.269733;0.442307;0.302297;0.425074;0.227532;0.001097;0.025800;0.249493;0.072498;0;5.737324;567;1
white;6.7000000000;0.2100000000;0.3200000000;5.4000000000;0.0470000000;29.0000000000;140.0000000000;0.9950000000;3.3900000000;0.4600000000;9.7000000000;6;377;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.479725;0.016023;0.256203;0.302297;0.147976;0.468842;0.000595;0.041156;0.197132;0.062837;0;5.165004;423;1
white;6.7000000000;0.2600000000;0.3900000000;1.1000000000;0.0400000000;45.0000000000;147.0000000000;0.9935000000;3.3200000000;0.5800000000;9.6000000000;8;247;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.355851;0.238278;0.744106;0.406211;0.781343;0.542284;0.002101;0.019658;0.012310;0.072498;0;6.366858;705;1
red;6.7000000000;0.4200000000;0.2700000000;8.6000000000;0.0680000000;24.0000000000;148.0000000000;0.9948000000;3.1600000000;0.5700000000;11.3000000000;6;650;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.040548;0.142730;1.000620;0.009441;0.049950;0.552776;0.000796;0.029482;0.005143;0.091746;0;5.115450;403;1
white;6.7000000000;0.4600000000;0.1800000000;2.4000000000;0.0340000000;25.0000000000;98.0000000000;0.9896000000;3.0800000000;0.4400000000;12.6000000000;7;162;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.139648;0.428486;0.441687;0.495279;0.010364;0.028189;0.006019;0.054052;0.232040;0.217345;0;5.245327;444;1
white;6.7000000000;0.5400000000;0.2800000000;5.4000000000;0.0600000000;21.0000000000;105.0000000000;0.9949000000;3.2700000000;0.3700000000;9.0000000000;5;77;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.337847;0.110979;0.256203;0.109316;0.168706;0.101631;0.000695;0.004301;0.354215;0.130467;0;4.766578;344;1
red;6.7000000000;0.5600000000;0.0900000000;2.9000000000;0.0790000000;7.0000000000;22.0000000000;0.9966900000;3.4600000000;0.6100000000;10.2000000000;5;970;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.387397;0.714243;0.325372;0.172733;0.722902;0.769181;0.001102;0.062655;0.064671;0.014529;0;6.427003;684;1
red;6.7000000000;0.6400000000;0.2300000000;2.1000000000;0.0800000000;11.0000000000;119.0000000000;0.9953800000;3.3600000000;0.7000000000;10.9000000000;5;1185;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.585597;0.269733;0.511476;0.187577;0.564560;0.248515;0.000213;0.031943;0.221754;0.053100;0;5.866686;583;1
red;6.7000000000;0.7000000000;0.0800000000;3.7500000000;0.0670000000;8.0000000000;16.0000000000;0.9933400000;3.4300000000;0.5200000000;12.6000000000;5;1470;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;3.192218;0.734247;0.745994;0.127636;0.005403;0.683316;0.832132;0.002262;0.053441;0.092411;0.217345;0;6.686405;716;1
white;6.8000000000;0.1500000000;0.3300000000;4.7000000000;0.0590000000;31.0000000000;118.0000000000;0.9956000000;3.4300000000;0.3900000000;9.0000000000;7;1057;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;2.874711;0.628375;0.047774;0.093362;0.124161;0.227147;0.238024;0.000007;0.053441;0.319308;0.130467;0;4.736777;332;1
white;6.8000000000;0.1600000000;0.4000000000;2.3000000000;0.0370000000;18.0000000000;102.0000000000;0.9923000000;3.4900000000;0.4200000000;11.4000000000;7;354;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;2.874711;0.603600;0.270029;0.464950;0.450745;0.287462;0.070156;0.003307;0.071869;0.266947;0.101407;0;5.465183;499;1
white;6.8000000000;0.1900000000;0.3600000000;1.9000000000;0.0350000000;30.0000000000;96.0000000000;0.9917000000;3.1500000000;0.5400000000;10.8000000000;7;134;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;2.874711;0.529275;0.143026;0.558002;0.480434;0.187562;0.007206;0.003909;0.032553;0.057503;0.043439;0;4.917620;371;1
white;6.8000000000;0.2200000000;0.3500000000;5.5000000000;0.0430000000;21.0000000000;114.0000000000;0.9938000000;3.3000000000;0.5300000000;10.7000000000;7;669;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;2.874711;0.454950;0.111275;0.279466;0.361676;0.168706;0.196057;0.001800;0.013515;0.074957;0.033777;0;4.570890;300;1
white;6.8000000000;0.2300000000;0.4000000000;1.6000000000;0.0470000000;5.0000000000;133.0000000000;0.9930000000;3.2300000000;0.7000000000;11.4000000000;6;1361;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;2.874711;0.430175;0.270029;0.627791;0.302297;0.802072;0.395400;0.002604;0.007983;0.221754;0.101407;0;6.036223;631;1
white;6.8000000000;0.2400000000;0.4000000000;1.8000000000;0.0470000000;34.0000000000;105.0000000000;0.9900000000;3.1300000000;0.4900000000;12.8000000000;8;1283;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;2.874711;0.405400;0.270029;0.581265;0.302297;0.345903;0.101631;0.005617;0.038695;0.144772;0.236668;0;5.306988;461;1
white;6.8000000000;0.2500000000;0.2400000000;4.5500000000;0.0530000000;41.0000000000;211.0000000000;0.9955000000;3.3700000000;0.6700000000;9.5000000000;6;524;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;2.874711;0.380625;0.237982;0.058467;0.213229;0.623001;1.213755;0.000093;0.035014;0.169393;0.082160;0;5.888430;593;1
white;6.8000000000;0.2500000000;0.3800000000;8.1000000000;0.0460000000;24.0000000000;155.0000000000;0.9956000000;3.3300000000;0.5900000000;10.2000000000;6;806;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;2.874711;0.380625;0.206527;0.884305;0.317142;0.049950;0.626218;0.000007;0.022729;0.029764;0.014529;0;5.406507;484;1
white;6.8000000000;0.2600000000;0.3300000000;1.5000000000;0.0470000000;44.0000000000;167.0000000000;0.9928000000;3.1200000000;0.4400000000;10.5000000000;6;1304;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;2.874711;0.355851;0.047774;0.651054;0.302297;0.741757;0.752118;0.002804;0.041767;0.232040;0.014454;0;6.016627;628;1
white;6.8000000000;0.3000000000;0.2300000000;4.6000000000;0.0610000000;50.5000000000;238.5000000000;0.9958000000;3.3200000000;0.6000000000;9.5000000000;5;69;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;2.874711;0.256751;0.269733;0.070099;0.094471;0.999063;1.502277;0.000208;0.019658;0.047217;0.082160;0;6.216348;666;1
white;6.8000000000;0.3600000000;0.2400000000;4.6000000000;0.0390000000;24.0000000000;124.0000000000;0.9909000000;3.2700000000;0.3400000000;12.6000000000;7;1480;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;2.874711;0.108101;0.237982;0.070099;0.421055;0.049950;0.300974;0.004713;0.004301;0.406576;0.217345;0;4.695807;325;1
