type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;rel_err_fixed_acidity;rel_err_volatile_acidity;rel_err_citric_acid;rel_err_residual_sugar;rel_err_chlorides;rel_err_free_sulfur_dioxide;rel_err_total_sulfur_dioxide;rel_err_density;rel_err_pH;rel_err_sulphates;rel_err_alcohol;rel_err_quality;rel_err;rnum
white;7.2000000000;0.2200000000;0.3500000000;5.5000000000;0.0540000000;37.0000000000;183.0000000000;0.9947400000;3.0800000000;0.5000000000;10.3000000000;5;0.055700;0.352158;0.098013;0.010294;0.036677;0.212444;0.581752;0.000042;0.042982;0.058645;0.018376;0;1.467083;8
white;7.2000000000;0.2300000000;0.3900000000;1.5000000000;0.0530000000;26.0000000000;106.0000000000;0.9916600000;3.1800000000;0.4700000000;11.1000000000;6;0.055700;0.322711;0.223500;0.724465;0.054517;0.148012;0.083793;0.003053;0.011910;0.115126;0.057865;0;1.800652;49
white;7.2000000000;0.2400000000;0.3000000000;1.6000000000;0.0480000000;27.0000000000;131.0000000000;0.9933000000;3.2500000000;0.4500000000;10.5000000000;5;0.055700;0.293263;0.058845;0.706096;0.143713;0.115243;0.132292;0.001405;0.009839;0.152781;0.000683;0;1.669860;26
white;7.2000000000;0.2500000000;0.3200000000;1.5000000000;0.0470000000;27.0000000000;132.0000000000;0.9933000000;3.2600000000;0.4400000000;10.5000000000;5;0.055700;0.263816;0.003897;0.724465;0.161552;0.115243;0.140935;0.001405;0.012947;0.171608;0.000683;0;1.652251;22
white;7.2000000000;0.2500000000;0.3200000000;1.5000000000;0.0540000000;24.0000000000;105.0000000000;0.9915400000;3.1700000000;0.4800000000;11.1000000000;6;0.055700;0.263816;0.003897;0.724465;0.036677;0.213549;0.092437;0.003174;0.015017;0.096299;0.057865;0;1.562896;11
white;7.2000000000;0.2600000000;0.3200000000;10.4000000000;0.0620000000;23.0000000000;114.0000000000;0.9966000000;3.2300000000;0.4900000000;10.5000000000;5;0.055700;0.234369;0.003897;0.910374;0.106036;0.246318;0.014646;0.001912;0.003625;0.077472;0.000683;0;1.655032;24
white;7.2000000000;0.2700000000;0.2700000000;2.4000000000;0.0480000000;30.0000000000;149.0000000000;0.9936000000;3.1000000000;0.5100000000;9.2000000000;6;0.055700;0.204921;0.152961;0.559144;0.143713;0.016937;0.287874;0.001103;0.036768;0.039818;0.123210;0;1.622149;16
white;7.2000000000;0.2700000000;0.2700000000;2.4000000000;0.0480000000;30.0000000000;149.0000000000;0.9936000000;3.1000000000;0.5100000000;9.2000000000;6;0.055700;0.204921;0.152961;0.559144;0.143713;0.016937;0.287874;0.001103;0.036768;0.039818;0.123210;0;1.622149;17
white;7.2000000000;0.3100000000;0.2600000000;7.3000000000;0.0500000000;37.0000000000;157.0000000000;0.9962500000;3.0900000000;0.4300000000;9.0000000000;5;0.055700;0.087132;0.184333;0.340936;0.108034;0.212444;0.357022;0.001560;0.039875;0.190435;0.142271;0;1.719742;36
white;7.2000000000;0.3200000000;0.2400000000;5.6000000000;0.0330000000;23.0000000000;120.0000000000;0.9933400000;2.9200000000;0.6600000000;10.3000000000;7;0.055700;0.057684;0.247076;0.028663;0.411303;0.246318;0.037214;0.001364;0.092697;0.242587;0.018376;0;1.438982;7
white;7.2000000000;0.3200000000;0.3300000000;1.4000000000;0.0290000000;29.0000000000;109.0000000000;0.9902000000;3.1500000000;0.5100000000;12.8000000000;7;0.055700;0.057684;0.035269;0.742834;0.482660;0.049705;0.057863;0.004521;0.021232;0.039818;0.219881;0;1.767167;41
white;7.2000000000;0.3300000000;0.2800000000;1.4000000000;0.0340000000;26.0000000000;109.0000000000;0.9924600000;3.2800000000;0.5700000000;10.6000000000;6;0.055700;0.028237;0.121589;0.742834;0.393463;0.148012;0.057863;0.002249;0.019161;0.073143;0.010214;0;1.652465;23
red;7.2000000000;0.3400000000;0.2100000000;2.5000000000;0.0750000000;41.0000000000;68.0000000000;0.9958600000;3.3700000000;0.5400000000;10.1000000000;6;0.055700;0.001209;0.341192;0.540775;0.337947;0.343519;0.412245;0.001168;0.047126;0.016662;0.037437;0;2.134980;9
red;7.2000000000;0.3400000000;0.2400000000;2.0000000000;0.0710000000;30.0000000000;52.0000000000;0.9957600000;3.4400000000;0.5800000000;10.1000000000;5;0.055700;0.001209;0.247076;0.632620;0.266590;0.016937;0.550540;0.001067;0.068876;0.091971;0.037437;0;1.970023;7
red;7.2000000000;0.3400000000;0.3200000000;2.5000000000;0.0900000000;43.0000000000;113.0000000000;0.9966000000;3.3200000000;0.7900000000;11.1000000000;5;0.055700;0.001209;0.003897;0.540775;0.605537;0.409056;0.023289;0.001912;0.031590;0.487339;0.057865;0;2.218169;15
white;7.2000000000;0.3500000000;0.2500000000;5.6000000000;0.0320000000;23.0000000000;120.0000000000;0.9933400000;2.9300000000;0.6600000000;10.3000000000;7;0.055700;0.030657;0.215704;0.028663;0.429142;0.246318;0.037214;0.001364;0.089590;0.242587;0.018376;0;1.395315;6
red;7.2000000000;0.3500000000;0.2600000000;1.8000000000;0.0830000000;33.0000000000;75.0000000000;0.9968000000;3.4000000000;0.5800000000;9.5000000000;6;0.055700;0.030657;0.184333;0.669358;0.480661;0.081369;0.351740;0.002113;0.056447;0.091971;0.094619;0;2.098968;8
white;7.2000000000;0.3600000000;0.3600000000;5.7000000000;0.0380000000;26.0000000000;98.0000000000;0.9914000000;2.9300000000;0.5900000000;12.5000000000;7;0.055700;0.060104;0.129385;0.047032;0.322106;0.148012;0.152941;0.003315;0.089590;0.110798;0.191290;0;1.310273;2
white;7.2000000000;0.3600000000;0.3600000000;5.7000000000;0.0380000000;26.0000000000;98.0000000000;0.9914000000;2.9300000000;0.5900000000;12.5000000000;7;0.055700;0.060104;0.129385;0.047032;0.322106;0.148012;0.152941;0.003315;0.089590;0.110798;0.191290;0;1.310273;3
red;7.2000000000;0.3700000000;0.3200000000;2.0000000000;0.0620000000;15.0000000000;28.0000000000;0.9947000000;3.2300000000;0.7300000000;11.3000000000;7;0.055700;0.089551;0.003897;0.632620;0.106036;0.508468;0.757983;0.000002;0.003625;0.374377;0.076926;0;2.609185;31
red;7.2000000000;0.3700000000;0.3200000000;2.0000000000;0.0620000000;15.0000000000;28.0000000000;0.9947000000;3.2300000000;0.7300000000;11.3000000000;7;0.055700;0.089551;0.003897;0.632620;0.106036;0.508468;0.757983;0.000002;0.003625;0.374377;0.076926;0;2.609185;32
red;7.2000000000;0.3800000000;0.3000000000;1.8000000000;0.0730000000;31.0000000000;70.0000000000;0.9968500000;3.4200000000;0.5900000000;9.5000000000;6;0.055700;0.118999;0.058845;0.669358;0.302268;0.015831;0.394958;0.002163;0.062662;0.110798;0.094619;0;1.886201;5
red;7.2000000000;0.3800000000;0.3000000000;1.8000000000;0.0730000000;31.0000000000;70.0000000000;0.9968500000;3.4200000000;0.5900000000;9.5000000000;6;0.055700;0.118999;0.058845;0.669358;0.302268;0.015831;0.394958;0.002163;0.062662;0.110798;0.094619;0;1.886201;6
red;7.2000000000;0.3800000000;0.3100000000;2.0000000000;0.0560000000;15.0000000000;29.0000000000;0.9947200000;3.2300000000;0.7600000000;11.3000000000;8;0.055700;0.118999;0.027473;0.632620;0.000999;0.508468;0.749339;0.000022;0.003625;0.430858;0.076926;0;2.605029;30
red;7.2000000000;0.3800000000;0.3800000000;2.8000000000;0.0680000000;23.0000000000;42.0000000000;0.9935600000;3.3400000000;0.7200000000;12.9000000000;7;0.055700;0.118999;0.192128;0.485668;0.213072;0.246318;0.636974;0.001143;0.037804;0.355550;0.229411;0;2.572767;29
red;7.2000000000;0.3900000000;0.3200000000;1.8000000000;0.0650000000;34.0000000000;60.0000000000;0.9971400000;3.4600000000;0.7800000000;9.9000000000;5;0.055700;0.148446;0.003897;0.669358;0.159554;0.114138;0.481392;0.002455;0.075091;0.468512;0.056498;0;2.235041;16
red;7.2000000000;0.3900000000;0.4400000000;2.6000000000;0.0660000000;22.0000000000;48.0000000000;0.9949400000;3.3000000000;0.8400000000;11.5000000000;6;0.055700;0.148446;0.380359;0.522406;0.177393;0.279087;0.585114;0.000243;0.025375;0.581475;0.095986;0;2.851584;39
red;7.2000000000;0.4100000000;0.3000000000;2.1000000000;0.0830000000;35.0000000000;72.0000000000;0.9970000000;3.4400000000;0.5200000000;9.4000000000;5;0.055700;0.207341;0.058845;0.614251;0.480661;0.146906;0.377671;0.002314;0.068876;0.020991;0.104149;0;2.137705;10
red;7.2000000000;0.4100000000;0.3000000000;2.1000000000;0.0830000000;35.0000000000;72.0000000000;0.9970000000;3.4400000000;0.5200000000;9.4000000000;5;0.055700;0.207341;0.058845;0.614251;0.480661;0.146906;0.377671;0.002314;0.068876;0.020991;0.104149;0;2.137705;11
white;7.2000000000;0.4400000000;0.2800000000;3.4000000000;0.0480000000;22.0000000000;112.0000000000;0.9918800000;3.2100000000;0.3700000000;11.3000000000;7;0.055700;0.295683;0.121589;0.375454;0.143713;0.279087;0.031933;0.002832;0.002588;0.303397;0.076926;0;1.688902;28
red;7.2000000000;0.5600000000;0.2600000000;2.0000000000;0.0830000000;13.0000000000;100.0000000000;0.9958600000;3.2600000000;0.5200000000;9.9000000000;5;0.055700;0.649051;0.184333;0.632620;0.480661;0.574006;0.135654;0.001168;0.012947;0.020991;0.056498;0;2.803629;38
red;7.2000000000;0.6100000000;0.0800000000;4.0000000000;0.0820000000;26.0000000000;108.0000000000;0.9964100000;3.2500000000;0.5100000000;9.4000000000;5;0.055700;0.796287;0.749025;0.265240;0.462822;0.148012;0.066506;0.001721;0.009839;0.039818;0.104149;0;2.699119;35
white;7.3000000000;0.2400000000;0.3000000000;2.5000000000;0.0420000000;31.0000000000;104.0000000000;0.9911000000;3.0500000000;0.5600000000;11.3000000000;7;0.258017;0.293263;0.058845;0.540775;0.250749;0.015831;0.101080;0.003616;0.052304;0.054316;0.076926;0;1.705722;30
white;7.3000000000;0.2400000000;0.3400000000;7.5000000000;0.0480000000;29.0000000000;152.0000000000;0.9962000000;3.1000000000;0.5400000000;9.0000000000;5;0.258017;0.293263;0.066641;0.377674;0.143713;0.049705;0.313804;0.001510;0.036768;0.016662;0.142271;0;1.700028;29
white;7.3000000000;0.2600000000;0.3600000000;5.2000000000;0.0400000000;31.0000000000;141.0000000000;0.9931000000;3.1600000000;0.5900000000;11.0000000000;6;0.258017;0.234369;0.129385;0.044812;0.286427;0.015831;0.218726;0.001606;0.018124;0.110798;0.048335;0;1.366430;5
white;7.3000000000;0.2600000000;0.4900000000;5.0000000000;0.0280000000;32.0000000000;107.0000000000;0.9936000000;3.2400000000;0.5400000000;10.8000000000;6;0.258017;0.234369;0.537218;0.081550;0.500499;0.048600;0.075150;0.001103;0.006732;0.016662;0.029274;0;1.789174;45
white;7.3000000000;0.2600000000;0.4900000000;5.0000000000;0.0280000000;32.0000000000;107.0000000000;0.9936000000;3.2400000000;0.5400000000;10.8000000000;6;0.258017;0.234369;0.537218;0.081550;0.500499;0.048600;0.075150;0.001103;0.006732;0.016662;0.029274;0;1.789174;46
white;7.3000000000;0.2800000000;0.3500000000;1.6000000000;0.0540000000;31.0000000000;148.0000000000;0.9917800000;3.1800000000;0.4700000000;10.7000000000;5;0.258017;0.175474;0.098013;0.706096;0.036677;0.015831;0.279231;0.002933;0.011910;0.115126;0.019744;0;1.719052;34
white;7.3000000000;0.2800000000;0.3500000000;1.6000000000;0.0540000000;31.0000000000;148.0000000000;0.9917800000;3.1800000000;0.4700000000;10.7000000000;5;0.258017;0.175474;0.098013;0.706096;0.036677;0.015831;0.279231;0.002933;0.011910;0.115126;0.019744;0;1.719052;35
white;7.3000000000;0.3000000000;0.2500000000;2.5000000000;0.0450000000;32.0000000000;122.0000000000;0.9932900000;3.1800000000;0.5400000000;10.3000000000;5;0.258017;0.116579;0.215704;0.540775;0.197231;0.048600;0.054501;0.001415;0.011910;0.016662;0.018376;0;1.479770;10
white;7.3000000000;0.3000000000;0.3300000000;2.3000000000;0.0430000000;28.0000000000;125.0000000000;0.9908400000;3.3400000000;0.4400000000;12.6000000000;7;0.258017;0.116579;0.035269;0.577513;0.232910;0.082474;0.080431;0.003878;0.037804;0.171608;0.200820;0;1.797303;47
white;7.3000000000;0.3000000000;0.3400000000;2.7000000000;0.0440000000;34.0000000000;108.0000000000;0.9910500000;3.3600000000;0.5300000000;12.8000000000;8;0.258017;0.116579;0.066641;0.504037;0.215070;0.114138;0.066506;0.003667;0.044019;0.002164;0.219881;0;1.610719;15
red;7.3000000000;0.3200000000;0.2300000000;2.3000000000;0.0660000000;35.0000000000;70.0000000000;0.9958800000;3.4300000000;0.6200000000;10.1000000000;5;0.258017;0.057684;0.278448;0.577513;0.177393;0.146906;0.394958;0.001188;0.065769;0.167279;0.037437;0;2.162592;13
white;7.3000000000;0.3200000000;0.3400000000;6.6000000000;0.0320000000;24.0000000000;112.0000000000;0.9950500000;3.2200000000;0.4600000000;9.8000000000;6;0.258017;0.057684;0.066641;0.212353;0.429142;0.213549;0.031933;0.000354;0.000518;0.133954;0.066028;0;1.470173;9
red;7.3000000000;0.3400000000;0.3300000000;2.5000000000;0.0640000000;21.0000000000;37.0000000000;0.9952000000;3.3500000000;0.7700000000;12.1000000000;7;0.258017;0.001209;0.035269;0.540775;0.141715;0.311855;0.680192;0.000505;0.040911;0.449685;0.153168;0;2.613301;33
red;7.3000000000;0.3500000000;0.2400000000;2.0000000000;0.0670000000;28.0000000000;48.0000000000;0.9957600000;3.4300000000;0.5400000000;10.0000000000;4;0.258017;0.030657;0.247076;0.632620;0.195233;0.082474;0.585114;0.001067;0.065769;0.016662;0.046967;0;2.161656;12
red;7.3000000000;0.3650000000;0.4900000000;2.5000000000;0.0880000000;39.0000000000;106.0000000000;0.9966000000;3.3600000000;0.7800000000;11.0000000000;5;0.258017;0.074828;0.537218;0.540775;0.569858;0.277981;0.083793;0.001912;0.044019;0.468512;0.048335;0;2.905248;42
red;7.3000000000;0.3650000000;0.4900000000;2.5000000000;0.0880000000;39.0000000000;106.0000000000;0.9966000000;3.3600000000;0.7800000000;11.0000000000;5;0.258017;0.074828;0.537218;0.540775;0.569858;0.277981;0.083793;0.001912;0.044019;0.468512;0.048335;0;2.905248;43
white;7.3000000000;0.3800000000;0.2300000000;6.5000000000;0.0500000000;18.0000000000;102.0000000000;0.9930400000;3.1000000000;0.5500000000;11.2000000000;4;0.258017;0.118999;0.278448;0.193984;0.108034;0.410162;0.118367;0.001666;0.036768;0.035489;0.067396;0;1.627330;19
red;7.3000000000;0.3900000000;0.3100000000;2.4000000000;0.0740000000;9.0000000000;46.0000000000;0.9962000000;3.4100000000;0.5400000000;9.4000000000;6;0.258017;0.148446;0.027473;0.559144;0.320108;0.705081;0.602401;0.001510;0.059555;0.016662;0.104149;0;2.802546;37
white;7.3000000000;0.4000000000;0.2800000000;6.5000000000;0.0370000000;26.0000000000;97.0000000000;0.9914800000;3.1600000000;0.5800000000;12.6000000000;7;0.258017;0.177893;0.121589;0.193984;0.339945;0.148012;0.161584;0.003234;0.018124;0.091971;0.200820;0;1.715173;32
white;7.3000000000;0.4000000000;0.2800000000;6.5000000000;0.0370000000;26.0000000000;97.0000000000;0.9914800000;3.1600000000;0.5800000000;12.6000000000;7;0.258017;0.177893;0.121589;0.193984;0.339945;0.148012;0.161584;0.003234;0.018124;0.091971;0.200820;0;1.715173;33
red;7.3000000000;0.4000000000;0.3000000000;1.7000000000;0.0800000000;33.0000000000;79.0000000000;0.9969000000;3.4100000000;0.6500000000;9.5000000000;6;0.258017;0.177893;0.058845;0.687727;0.427144;0.081369;0.317167;0.002214;0.059555;0.223760;0.094619;0;2.388310;21
white;7.3000000000;0.4200000000;0.3800000000;6.8000000000;0.0450000000;29.0000000000;122.0000000000;0.9925000000;3.1900000000;0.3700000000;12.6000000000;7;0.258017;0.236788;0.192128;0.249091;0.197231;0.049705;0.054501;0.002209;0.008803;0.303397;0.200820;0;1.752690;38
red;7.3000000000;0.4300000000;0.2400000000;2.5000000000;0.0780000000;27.0000000000;67.0000000000;0.9964800000;3.6000000000;0.5900000000;11.1000000000;6;0.258017;0.266235;0.247076;0.540775;0.391465;0.115243;0.420888;0.001791;0.118591;0.110798;0.057865;0;2.528744;24
red;7.3000000000;0.4400000000;0.2000000000;1.6000000000;0.0490000000;24.0000000000;64.0000000000;0.9935000000;3.3800000000;0.5700000000;11.7000000000;6;0.258017;0.295683;0.372563;0.706096;0.125874;0.213549;0.446818;0.001204;0.050233;0.073143;0.115047;0;2.658227;34
red;7.3000000000;0.4500000000;0.3600000000;5.9000000000;0.0740000000;12.0000000000;87.0000000000;0.9978000000;3.3300000000;0.8300000000;10.5000000000;5;0.258017;0.325130;0.129385;0.083770;0.320108;0.606774;0.248019;0.003118;0.034697;0.562648;0.000683;0;2.572349;27
red;7.3000000000;0.4500000000;0.3600000000;5.9000000000;0.0740000000;12.0000000000;87.0000000000;0.9978000000;3.3300000000;0.8300000000;10.5000000000;5;0.258017;0.325130;0.129385;0.083770;0.320108;0.606774;0.248019;0.003118;0.034697;0.562648;0.000683;0;2.572349;28
red;7.3000000000;0.4800000000;0.3200000000;2.1000000000;0.0620000000;31.0000000000;54.0000000000;0.9972800000;3.3000000000;0.6500000000;10.0000000000;7;0.258017;0.413472;0.003897;0.614251;0.106036;0.015831;0.533253;0.002596;0.025375;0.223760;0.046967;0;2.243455;17
red;7.3000000000;0.4800000000;0.3200000000;2.1000000000;0.0620000000;31.0000000000;54.0000000000;0.9972800000;3.3000000000;0.6500000000;10.0000000000;7;0.258017;0.413472;0.003897;0.614251;0.106036;0.015831;0.533253;0.002596;0.025375;0.223760;0.046967;0;2.243455;18
white;7.3000000000;0.4900000000;0.3200000000;5.2000000000;0.0430000000;18.0000000000;104.0000000000;0.9952000000;3.2400000000;0.4500000000;10.7000000000;4;0.258017;0.442919;0.003897;0.044812;0.232910;0.410162;0.101080;0.000505;0.006732;0.152781;0.019744;0;1.673559;27
red;7.3000000000;0.5900000000;0.2600000000;2.0000000000;0.0800000000;17.0000000000;104.0000000000;0.9958400000;3.2800000000;0.5200000000;9.9000000000;5;0.258017;0.737393;0.184333;0.632620;0.427144;0.442930;0.101080;0.001148;0.019161;0.020991;0.056498;0;2.881315;40
red;7.3000000000;0.5900000000;0.2600000000;7.2000000000;0.0700000000;35.0000000000;121.0000000000;0.9981000000;3.3700000000;0.4900000000;9.4000000000;5;0.258017;0.737393;0.184333;0.322567;0.248751;0.146906;0.045857;0.003420;0.047126;0.077472;0.104149;0;2.175991;14
red;7.3000000000;0.6900000000;0.3200000000;2.2000000000;0.0690000000;35.0000000000;104.0000000000;0.9963200000;3.3300000000;0.5100000000;9.5000000000;5;0.258017;1.031866;0.003897;0.595882;0.230911;0.146906;0.101080;0.001630;0.034697;0.039818;0.094619;0;2.539323;25
white;7.4000000000;0.3500000000;0.2400000000;6.0000000000;0.0420000000;28.0000000000;123.0000000000;0.9930400000;3.1400000000;0.4400000000;11.3000000000;5;0.571735;0.030657;0.247076;0.102139;0.250749;0.082474;0.063144;0.001666;0.024339;0.171608;0.076926;0;1.622513;18
red;7.4000000000;0.3600000000;0.2900000000;2.6000000000;0.0870000000;26.0000000000;72.0000000000;0.9964500000;3.3900000000;0.6800000000;11.0000000000;5;0.571735;0.060104;0.090217;0.522406;0.552019;0.148012;0.377671;0.001761;0.053340;0.280241;0.048335;0;2.705841;36
white;7.4000000000;0.4000000000;0.2900000000;5.4000000000;0.0440000000;31.0000000000;122.0000000000;0.9940000000;3.3000000000;0.5000000000;11.1000000000;8;0.571735;0.177893;0.090217;0.008074;0.215070;0.015831;0.054501;0.000701;0.025375;0.058645;0.057865;0;1.275907;1
